Variable:,pr
Country:,Brazil
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,216.98,215.73,241.88,176.81,125.16,78.60,62.02,65.68,76.26,126.09,161.05,207.40
1902,226.24,215.56,228.04,173.91,127.88,77.47,61.70,55.97,75.17,126.03,153.25,203.80
1903,230.55,214.14,225.03,175.28,126.92,78.59,63.68,58.31,76.34,133.55,148.63,195.35
1904,225.30,216.93,241.38,175.09,134.18,78.12,65.31,60.48,78.60,124.51,153.57,203.69
1905,226.74,214.88,230.64,181.44,127.93,78.67,60.14,54.78,73.02,116.46,145.91,198.36
1906,214.83,210.20,224.71,184.07,127.84,78.55,64.47,60.88,76.44,117.50,158.36,201.61
1907,227.65,212.92,223.23,184.45,130.58,77.60,63.21,53.25,72.59,127.58,163.78,192.43
1908,225.58,217.10,233.69,182.23,129.12,81.80,62.95,56.50,75.28,121.07,149.48,199.41
1909,218.53,215.40,237.11,182.77,127.66,80.34,65.44,52.87,74.88,127.74,154.19,200.15
1910,215.33,203.42,252.54,165.49,121.11,80.12,62.86,58.82,83.59,122.12,149.11,196.65
1911,231.96,231.89,246.91,180.09,129.27,83.48,59.83,55.29,82.85,125.07,153.37,190.93
1912,223.60,226.25,232.79,185.22,135.60,79.18,62.72,59.88,81.40,117.86,161.34,191.29
1913,258.98,198.03,209.65,169.49,115.39,86.44,67.25,63.55,68.64,126.15,141.65,192.39
1914,197.60,170.38,213.84,161.06,118.28,80.13,60.31,56.63,66.43,115.92,142.39,210.37
1915,203.40,223.53,249.92,189.45,130.07,81.94,55.60,49.96,63.57,123.25,174.60,221.41
1916,246.16,236.48,241.67,179.66,138.73,82.60,60.03,52.66,70.06,115.63,159.13,207.92
1917,226.58,196.36,229.32,187.50,140.55,77.13,69.63,57.18,74.55,138.23,162.28,200.64
1918,231.36,231.10,222.32,154.54,119.59,85.65,60.71,64.60,78.63,123.10,147.11,180.72
1919,211.87,201.06,248.06,192.78,133.89,84.19,72.54,60.53,87.24,120.86,148.63,200.22
1920,217.61,222.69,226.65,184.93,135.82,88.61,69.89,51.66,78.62,145.26,185.25,197.14
1921,224.11,226.22,233.13,186.92,134.51,86.76,63.43,63.30,70.99,126.31,173.02,190.31
1922,221.94,242.65,226.92,181.43,135.68,84.88,58.65,56.27,84.65,124.22,143.44,169.83
1923,253.77,241.37,287.86,199.14,153.80,94.76,57.73,43.95,67.82,131.96,158.04,233.00
1924,224.91,196.25,226.62,175.20,124.62,77.82,67.29,49.42,85.00,128.21,142.57,210.27
1925,237.83,243.68,264.90,192.59,131.35,72.23,57.44,52.20,69.51,110.26,150.54,200.35
1926,211.31,239.39,229.01,179.83,133.44,84.68,59.41,60.16,74.36,122.59,146.36,193.55
1927,253.54,210.69,245.96,184.25,112.92,69.90,62.70,49.73,80.99,108.40,162.55,198.44
1928,235.80,229.63,248.89,182.94,146.03,82.44,60.70,57.43,76.32,111.28,147.63,229.64
1929,214.63,202.19,240.65,162.16,113.12,80.42,52.48,48.00,69.92,123.56,159.01,202.86
1930,196.78,229.78,259.37,178.22,126.38,72.12,55.05,52.69,75.41,130.04,156.47,166.67
1931,235.88,201.70,216.09,141.21,113.72,77.38,58.85,55.26,76.60,114.58,147.68,173.66
1932,218.65,197.28,236.70,202.40,106.77,71.42,62.59,47.75,71.60,128.59,172.85,200.89
1933,217.31,239.72,233.60,197.83,141.65,82.72,58.38,57.38,76.25,129.68,155.28,220.42
