Variable:,pr
Country:,China
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.82,9.74,23.20,39.14,73.23,82.36,103.77,87.52,53.18,32.84,17.40,18.16
1902,11.07,16.12,33.33,41.96,69.19,96.35,108.85,115.65,69.72,34.04,14.65,6.06
1903,7.45,11.26,31.46,55.71,60.91,84.06,106.72,103.52,65.85,40.03,14.40,10.14
1904,13.39,14.94,39.41,44.68,61.24,89.95,104.90,100.52,71.42,35.80,15.41,18.25
1905,13.66,23.21,28.20,46.18,67.28,88.11,110.22,99.76,64.31,30.91,13.74,8.32
1906,15.79,13.68,24.24,44.57,66.76,84.80,106.21,99.74,70.00,57.25,22.63,10.21
1907,16.96,16.99,20.38,48.39,53.30,97.49,114.91,91.35,73.16,38.70,23.64,11.84
1908,13.87,13.88,27.01,39.28,59.65,112.43,108.67,95.47,64.93,49.88,18.20,7.45
1909,14.78,13.60,24.13,42.77,52.90,100.00,112.49,105.06,60.31,35.37,22.13,8.89
1910,11.37,13.28,35.70,42.38,75.40,103.32,116.38,118.57,66.31,40.84,26.47,12.45
1911,14.14,19.02,33.74,40.02,62.68,101.73,103.62,96.22,57.55,29.47,19.88,14.85
1912,9.80,15.58,30.33,49.43,59.52,96.82,100.87,91.11,60.69,28.80,22.40,14.68
1913,7.63,20.67,26.70,41.41,63.21,95.51,113.45,96.09,62.93,40.43,29.84,13.56
1914,8.23,14.52,25.10,47.28,67.42,100.30,122.99,102.64,72.52,49.21,26.70,7.66
1915,11.48,18.08,21.02,47.85,61.69,103.47,100.39,89.72,71.30,34.56,15.72,8.13
1916,7.77,13.77,24.51,40.42,47.99,99.14,139.84,100.36,62.72,32.99,11.67,8.76
1917,3.85,10.35,29.76,42.05,86.70,95.19,105.27,127.60,68.33,22.45,29.71,15.77
1918,10.61,15.48,29.21,42.54,62.35,101.09,105.28,94.68,60.21,29.36,20.28,7.76
1919,8.31,24.03,31.46,41.81,58.24,97.99,104.61,92.99,76.90,32.56,24.12,16.82
1920,8.68,11.95,25.97,40.97,80.47,91.57,106.92,105.63,72.15,32.88,11.56,7.16
1921,13.65,18.72,26.75,34.28,61.89,90.51,114.34,110.60,64.69,30.10,11.46,9.66
1922,5.88,16.30,24.67,48.98,58.31,94.17,113.60,109.12,59.35,33.21,15.64,10.23
1923,10.73,19.81,20.72,39.66,63.08,104.72,132.60,94.70,54.05,35.51,10.08,6.35
1924,14.77,12.93,31.78,40.58,67.36,84.50,99.17,106.19,55.94,28.91,19.85,8.27
1925,9.80,19.44,28.30,37.15,65.42,88.48,115.94,103.26,63.78,39.82,19.83,13.69
1926,8.99,19.33,33.10,45.33,67.32,84.49,112.39,88.16,64.51,37.40,17.20,9.21
1927,15.42,14.06,24.46,38.65,64.08,86.92,102.15,112.89,60.81,27.33,19.77,8.40
1928,12.02,14.04,15.34,32.89,67.85,91.01,122.52,101.90,60.19,24.48,13.11,15.22
1929,12.58,15.41,35.28,47.63,60.56,89.44,93.35,108.78,62.96,35.05,16.86,10.39
1930,9.43,15.75,26.03,51.85,67.17,97.83,118.44,110.52,71.25,21.01,16.59,14.67
1931,6.75,19.16,22.63,37.08,68.55,101.27,113.77,105.33,67.32,29.11,12.95,13.57
1932,10.01,14.16,21.28,39.16,68.31,104.26,104.80,91.15,58.16,39.21,17.98,11.87
1933,8.69,14.59,24.35,41.71,67.25,106.65,110.04,99.81,65.99,35.25,21.27,13.17
1934,12.58,21.09,24.19,41.97,58.84,98.31,113.03,89.82,54.55,44.94,28.59,11.54
1935,8.50,19.25,22.90,48.00,69.63,77.16,105.73,99.89,59.80,17.52,11.44,15.72
1936,15.82,17.69,24.76,45.10,67.08,91.72,101.38,141.04,66.43,30.32,17.63,9.38
1937,12.02,15.24,31.51,29.40,72.12,95.06,121.90,110.90,59.44,42.71,12.81,9.24
1938,8.28,16.83,22.40,42.84,60.72,93.59,123.88,90.55,61.72,30.04,23.09,4.17
1939,7.70,16.87,38.07,31.23,56.62,87.93,109.27,107.92,57.06,35.88,21.47,9.11
1940,12.55,20.51,30.90,38.70,60.80,85.83,111.40,100.22,59.75,32.49,25.83,15.64
1941,5.59,12.76,33.39,50.49,71.57,90.71,120.78,84.92,51.29,37.90,12.75,9.09
1942,8.07,12.56,29.98,35.32,59.58,92.98,102.05,117.82,70.06,26.87,14.54,6.93
1943,11.01,17.13,23.85,45.26,63.20,97.77,100.99,92.89,68.06,41.86,23.18,7.35
1944,10.31,19.91,23.75,37.25,48.99,85.36,111.11,113.58,69.24,25.47,22.31,11.30
1945,6.47,10.60,34.77,36.87,74.34,100.85,129.42,96.11,61.12,31.70,19.27,11.02
1946,17.09,12.23,26.40,39.34,65.03,96.86,125.31,107.07,74.60,29.97,11.29,10.94
1947,10.37,19.90,35.68,45.18,74.47,96.53,127.63,93.90,61.77,32.69,12.12,17.30
1948,5.40,21.93,26.63,44.02,70.00,101.63,114.11,107.78,73.68,37.66,23.91,15.11
1949,15.36,17.52,23.19,46.62,69.23,92.85,110.49,103.12,64.88,34.61,19.48,6.75
1950,9.99,15.00,27.71,50.35,56.42,92.81,112.15,105.98,66.50,40.82,28.74,12.16
1951,8.76,18.00,32.49,48.73,76.00,83.38,115.75,113.66,73.03,37.37,14.89,7.09
1952,16.50,17.76,34.75,35.40,73.59,91.69,107.09,95.01,62.45,42.05,20.47,19.17
1953,15.56,18.43,18.96,51.86,83.41,117.35,126.85,123.97,59.53,30.42,14.53,15.04
1954,6.52,13.41,31.77,30.73,64.12,97.08,117.88,104.64,66.52,25.49,18.61,7.73
1955,11.91,14.40,34.65,41.06,82.90,111.05,97.42,103.79,58.52,32.76,12.58,7.38
1956,16.90,19.58,26.99,47.39,68.89,85.79,114.63,98.16,53.18,32.13,16.58,12.04
1957,14.05,14.92,23.22,44.86,61.53,79.44,119.08,110.94,61.20,34.64,9.80,8.95
1958,11.53,33.89,30.30,40.65,72.20,105.70,98.30,113.29,69.93,31.08,18.68,16.07
1959,9.58,9.20,36.44,31.85,68.29,89.81,112.90,102.37,71.78,27.01,22.24,5.97
1960,8.63,17.99,33.74,49.69,59.22,80.98,108.66,118.15,79.36,38.98,29.70,15.25
1961,7.66,11.98,17.56,39.64,66.37,106.31,115.35,108.77,68.02,32.02,22.92,7.75
1962,2.11,9.52,24.01,37.22,62.98,77.85,122.91,100.40,62.52,32.80,28.62,10.57
1963,18.47,15.80,23.35,62.93,63.89,101.31,105.70,115.39,69.67,46.67,6.76,7.17
1964,6.63,15.60,21.50,53.52,51.25,85.36,107.02,99.33,48.91,49.40,26.08,14.22
1965,9.95,14.24,25.76,44.59,50.04,99.83,116.19,99.95,40.78,40.44,12.18,12.90
1966,8.02,18.89,30.43,46.22,74.89,88.22,99.44,103.61,62.92,22.30,29.81,6.64
1967,9.87,12.92,30.06,39.64,59.33,96.00,109.65,104.17,60.56,33.63,16.41,13.44
1968,21.30,12.55,24.85,47.01,60.76,85.73,125.00,113.34,62.83,34.03,14.02,3.80
1969,11.67,13.92,31.43,45.98,77.40,83.23,130.63,92.09,76.07,32.90,15.50,16.54
1970,10.01,13.71,16.57,35.45,70.43,112.96,95.94,102.54,64.76,33.76,12.95,14.49
1971,8.23,20.37,22.27,40.53,68.86,81.77,93.70,87.54,63.06,41.99,34.58,13.48
1972,15.24,16.23,23.63,64.23,84.45,104.58,117.96,106.34,76.92,38.58,14.70,2.46
1973,12.20,15.12,21.29,45.24,67.09,93.70,116.48,106.35,60.54,38.29,14.51,16.21
1974,12.56,16.77,26.93,53.75,74.84,92.17,106.67,93.22,72.29,47.99,19.57,13.69
1975,6.05,19.93,22.93,46.34,60.80,103.69,104.42,100.73,56.03,42.77,14.25,6.50
1976,13.33,9.02,19.78,55.13,69.22,96.41,124.50,84.19,54.95,45.43,16.75,18.43
1977,11.66,12.85,30.31,37.91,76.28,94.26,92.75,88.28,59.70,35.02,19.16,6.34
1978,12.12,14.97,27.98,47.61,49.51,101.80,118.92,98.56,70.33,18.73,9.81,12.56
1979,10.96,15.79,32.00,45.97,66.57,93.68,106.70,120.47,54.36,43.10,10.19,6.41
1980,11.55,13.64,35.15,51.62,61.74,87.80,120.87,97.57,58.20,35.96,28.28,4.17
1981,6.43,21.40,25.29,44.75,57.82,88.34,105.18,106.17,65.79,31.05,35.62,8.46
1982,20.19,25.81,36.44,53.20,69.19,93.52,108.61,92.50,79.81,49.76,13.77,10.27
1983,8.91,8.65,18.95,47.51,72.02,106.48,108.51,103.59,66.74,28.51,13.55,13.18
1984,8.92,26.64,27.84,39.04,67.93,81.60,108.34,110.11,78.57,32.35,17.48,9.62
1985,4.20,12.36,26.32,41.62,51.59,98.31,116.55,77.93,55.48,35.74,18.45,11.15
1986,10.92,12.65,33.11,43.87,64.94,88.70,114.38,106.73,63.80,43.05,25.89,4.67
1987,7.87,19.60,30.01,31.94,78.82,76.95,108.21,115.24,65.68,29.03,8.99,9.05
1988,22.16,16.52,24.34,46.77,64.54,95.65,108.05,84.12,63.85,33.39,17.18,10.97
1989,16.62,31.57,37.64,50.08,73.75,99.60,118.17,87.06,69.49,29.59,26.20,9.49
1990,16.90,12.77,37.30,37.55,55.94,108.17,120.97,90.34,54.66,27.00,14.49,13.86
1991,13.90,22.46,49.46,36.11,67.15,95.26,103.19,81.79,55.63,27.79,12.02,13.86
1992,15.72,21.78,26.81,37.93,67.88,107.84,116.96,111.11,62.62,29.18,27.14,7.54
1993,7.80,18.90,25.57,41.90,58.62,107.99,118.45,105.01,59.50,34.75,17.55,22.08
1994,14.04,17.62,22.47,37.74,55.50,104.26,115.53,112.00,56.78,43.42,14.06,5.98
1995,11.67,10.63,41.07,37.42,56.76,101.57,137.35,105.38,51.13,31.20,22.23,5.15
1996,13.38,18.36,33.08,44.91,59.25,87.07,114.84,96.79,59.99,29.02,22.17,19.67
1997,19.42,21.72,39.61,50.21,75.13,115.57,131.96,117.58,44.29,32.78,11.60,8.65
1998,10.74,5.17,25.73,47.52,71.24,91.54,116.25,113.55,56.04,40.52,18.35,6.37
1999,17.15,13.74,21.93,47.40,60.75,99.57,100.87,107.32,59.14,52.69,19.24,10.00
2000,18.10,15.26,19.57,44.46,61.22,103.28,106.35,96.30,49.62,36.78,15.62,15.90
2001,14.16,11.98,28.90,51.68,77.69,112.42,112.01,98.54,51.74,41.77,15.90,21.44
2002,13.18,17.21,26.11,48.23,62.64,104.61,103.99,100.96,69.05,31.65,17.40,8.61
2003,13.04,15.99,22.31,40.86,78.04,81.35,119.92,93.02,56.21,18.70,20.85,13.20
2004,10.53,20.92,26.36,36.74,77.66,99.07,105.17,107.04,58.58,29.49,16.12,8.54
2005,12.06,21.22,21.83,46.22,72.92,97.04,110.40,80.42,48.75,30.85,25.28,8.15
2006,10.39,18.72,30.39,43.21,60.18,89.97,115.61,100.60,62.86,28.66,8.50,10.72
2007,16.90,12.22,28.06,40.38,66.34,102.56,118.94,107.94,56.75,40.64,22.93,5.59
2008,6.20,13.41,29.82,43.95,59.87,90.32,107.74,93.24,52.10,22.13,23.03,12.45
2009,13.37,17.96,31.15,52.30,75.91,92.46,111.41,103.87,77.05,36.11,11.67,16.53
2010,7.81,12.91,19.17,22.57,63.47,100.75,98.90,81.82,61.95,36.36,27.26,7.10
2011,16.74,14.57,30.30,46.47,64.82,102.27,127.87,91.25,70.07,28.99,28.79,17.85
2012,6.92,13.85,26.69,43.29,79.34,94.84,124.01,97.33,62.74,30.10,21.36,15.09
2013,5.08,19.02,30.41,39.19,73.09,102.05,112.34,98.27,72.77,28.52,22.42,9.06
2014,12.48,15.30,23.00,44.63,74.08,104.44,97.48,100.78,70.18,40.64,29.90,19.48
2015,19.16,13.90,22.88,54.29,74.16,115.03,126.43,94.11,65.38,49.75,28.08,11.10
2016,11.18,14.68,37.24,47.59,58.18,117.22,105.94,118.72,58.59,43.64,15.05,6.17
2017,18.25,8.97,29.07,41.26,68.41,93.93,127.05,121.48,66.64,26.22,24.45,15.34
2018,13.79,21.83,31.13,48.00,65.15,95.74,118.91,105.82,55.17,32.76,14.32,11.54
2019,18.60,19.15,31.33,35.54,68.31,110.32,117.30,110.02,78.08,32.15,17.04,5.95
2020,,,,,,,,,,,,
