Variable:,pr
Country:,France
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,43.91,70.38,64.09,76.54,68.97,69.37,45.73,83.74,52.96,70.40,67.75,52.88
1902,49.93,22.91,56.37,72.81,70.75,89.18,74.44,65.49,48.95,113.54,56.28,78.96
1903,57.08,102.57,47.73,42.89,59.67,78.27,35.48,49.36,72.04,36.85,32.56,64.13
1904,51.93,28.66,78.03,47.70,68.33,75.20,34.71,102.82,100.04,47.78,121.37,33.45
1905,81.15,73.78,55.45,65.04,53.89,20.33,52.93,24.32,29.55,78.46,112.86,82.37
1906,38.85,47.22,36.35,67.89,78.99,64.27,53.75,26.83,67.22,176.27,66.51,94.08
1907,26.49,57.89,57.77,56.01,69.87,81.48,66.70,65.73,66.57,30.19,52.28,72.20
1908,39.44,28.34,98.30,51.40,40.69,101.45,55.75,61.82,88.65,99.48,45.58,109.14
1909,88.16,98.88,47.87,65.18,94.10,101.37,77.24,80.59,42.53,92.81,159.38,109.90
1910,31.65,29.89,59.99,41.17,71.39,81.26,24.32,35.89,54.41,115.10,105.11,105.42
1911,76.23,64.28,92.88,35.42,58.32,80.44,73.82,124.50,39.67,87.24,61.56,48.95
1912,83.61,37.30,80.80,85.56,86.24,55.33,59.85,47.73,85.92,90.72,87.41,63.30
1913,34.16,67.15,109.71,42.28,88.48,72.20,96.55,75.49,60.69,81.21,71.02,111.41
1914,95.10,93.81,43.80,69.27,97.90,75.27,67.14,45.34,74.09,52.82,78.66,107.97
1915,26.06,109.52,81.12,70.39,61.41,60.46,65.71,64.25,83.08,88.07,97.03,118.71
1916,58.60,32.14,83.46,58.98,102.20,88.55,68.23,86.57,41.50,115.55,45.88,61.27
1917,52.75,20.34,55.35,99.25,68.72,53.21,44.92,35.43,103.98,75.26,75.44,89.83
1918,93.51,92.38,101.59,67.38,38.69,34.30,63.39,27.28,63.93,72.77,116.72,91.33
1919,78.96,19.15,85.46,81.31,52.82,63.41,74.14,42.87,87.37,86.51,51.72,53.38
1920,43.82,25.55,30.28,40.48,83.44,37.16,26.37,82.82,44.61,21.22,36.63,45.22
1921,93.31,58.33,83.39,125.30,35.40,74.98,66.94,75.29,72.36,68.81,61.54,89.80
1922,44.84,92.10,64.53,85.47,85.77,29.80,37.12,44.91,64.03,116.34,112.46,108.41
1923,57.52,38.79,65.50,64.13,61.46,60.70,73.65,82.50,87.01,85.66,59.93,53.38
1924,38.58,73.66,47.57,78.54,94.62,22.43,95.81,87.16,66.11,66.49,73.84,88.93
1925,76.78,71.36,52.88,74.75,109.80,81.85,49.19,38.21,39.82,109.14,130.35,27.19
1926,66.33,50.99,112.30,51.11,58.73,79.67,88.51,101.58,103.46,34.84,81.66,90.19
1927,71.26,61.69,91.80,96.88,70.32,50.69,20.12,56.55,48.60,129.78,111.19,61.26
1928,29.12,31.84,7.22,49.24,67.83,66.40,57.57,48.03,37.65,116.07,78.32,105.53
1929,85.02,55.42,78.74,79.19,97.04,84.39,98.98,60.95,86.24,113.40,113.19,81.39
1930,74.65,64.52,78.85,62.41,93.52,38.46,77.69,118.19,63.00,68.62,100.81,39.16
1931,52.75,11.59,74.96,85.85,102.29,82.20,110.19,56.93,96.42,103.07,47.70,67.78
1932,38.03,50.75,59.80,34.29,69.59,88.68,38.36,30.33,112.98,94.00,77.69,52.57
1933,50.05,17.95,81.50,91.10,33.69,57.94,33.89,83.09,46.17,61.23,116.40,119.30
1934,43.81,83.30,54.58,82.01,75.00,59.48,30.85,87.44,68.11,100.18,126.33,134.76
1935,125.94,79.59,68.80,91.07,60.65,83.01,102.13,35.45,86.24,46.54,76.93,39.69
1936,85.14,105.46,120.26,79.68,77.82,73.54,25.64,45.06,82.89,85.12,57.99,79.91
1937,78.60,26.45,13.51,13.29,85.73,50.66,70.38,76.95,85.87,69.87,82.09,84.81
1938,102.62,47.40,62.01,75.76,69.71,79.78,65.06,89.18,66.07,139.07,93.96,72.77
1939,58.72,64.05,57.36,83.33,68.82,76.90,88.04,30.40,95.03,94.80,97.82,77.91
1940,107.57,88.94,63.34,64.38,85.68,87.04,62.34,102.10,54.32,49.96,85.22,38.43
1941,82.64,37.80,61.91,62.09,72.03,56.36,52.50,55.77,92.50,87.17,37.94,71.24
1942,83.68,36.26,31.93,35.46,73.66,46.02,59.82,61.85,95.00,72.69,86.92,67.20
1943,34.75,58.51,15.32,50.79,33.93,59.80,69.42,70.75,89.50,111.24,109.89,85.41
1944,70.12,39.71,30.86,30.02,77.49,32.64,34.24,82.21,56.67,51.63,36.27,103.15
1945,48.25,64.15,48.80,60.44,107.29,74.49,32.26,80.74,50.94,52.20,62.48,69.21
1946,48.12,79.52,102.43,33.18,57.73,52.06,48.81,56.10,52.84,57.03,72.74,87.42
1947,124.31,32.65,29.56,80.09,85.71,70.28,55.06,88.52,68.25,50.63,38.57,54.55
1948,36.78,16.25,46.17,38.97,95.40,34.79,19.11,43.49,70.18,63.52,111.93,64.85
1949,35.05,91.31,33.16,70.20,67.43,45.59,45.64,84.44,70.07,40.21,120.70,90.64
1950,72.19,97.56,91.30,56.94,116.97,96.47,49.56,100.96,69.27,65.56,127.03,56.02
1951,83.27,48.40,77.47,45.35,55.54,35.67,33.89,80.74,100.72,113.80,110.74,105.66
1952,19.26,35.82,7.21,57.36,39.52,114.92,69.08,38.37,92.42,74.72,23.27,37.97
1953,46.70,63.68,75.68,43.37,67.39,57.75,53.70,108.12,78.65,54.17,67.42,81.26
1954,138.87,97.46,33.62,7.60,61.00,100.13,63.58,44.51,51.74,61.90,45.55,94.46
1955,80.43,24.48,60.26,69.98,62.76,58.53,81.08,96.35,94.21,61.58,45.41,45.47
1956,35.00,112.98,36.16,56.89,61.26,108.37,66.46,61.55,67.98,34.97,65.75,71.35
1957,86.12,76.30,66.78,52.28,83.90,87.26,73.37,84.73,78.55,67.39,68.47,116.75
1958,75.01,22.31,83.65,88.43,50.26,63.18,30.22,63.68,52.07,94.09,76.15,127.86
1959,72.07,72.97,85.42,23.43,53.66,68.75,84.69,105.28,109.54,164.70,104.10,100.35
1960,95.00,46.88,7.34,83.97,60.34,55.24,58.83,30.85,55.25,101.49,101.05,81.55
