Variable:,pr
Country:,Germany
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,47.05,26.51,56.29,34.67,78.01,62.93,74.70,93.21,49.43,51.55,11.88,65.42
1902,42.70,31.42,32.80,70.23,43.77,55.69,97.90,98.94,56.13,78.42,64.85,21.78
1903,35.15,64.89,35.19,49.96,70.82,56.80,33.36,54.06,62.36,49.78,56.55,45.03
1904,42.65,31.31,64.25,51.46,39.03,71.26,72.01,97.83,69.46,82.53,54.55,31.26
1905,65.08,42.08,62.06,35.18,80.49,66.64,78.10,73.34,55.09,31.13,51.43,56.99
1906,50.88,34.71,47.37,40.66,46.88,77.52,92.57,68.54,35.50,37.82,27.73,67.12
1907,31.37,52.48,36.86,59.65,88.40,58.74,80.49,86.30,54.17,5.14,35.94,23.60
1908,33.31,41.60,36.52,50.04,39.93,84.28,109.12,63.41,70.87,52.65,55.96,76.06
1909,65.69,59.52,23.58,47.08,62.84,103.11,103.64,97.75,58.22,19.74,90.47,49.44
1910,27.70,49.96,40.50,31.86,47.36,65.79,29.97,32.11,46.07,51.94,53.58,69.29
1911,55.09,40.32,57.17,33.57,66.59,93.54,68.90,117.61,61.12,57.59,60.39,56.00
1912,49.29,22.65,47.36,37.25,58.64,81.13,80.00,57.56,58.09,36.83,71.83,74.91
1913,45.21,30.97,95.75,36.75,79.52,77.04,109.91,55.61,70.75,42.77,42.71,58.03
1914,79.97,31.59,68.79,45.59,40.07,42.66,87.91,82.56,49.00,40.74,48.56,102.38
1915,67.18,56.67,43.33,51.40,59.48,99.74,81.90,82.18,57.08,60.75,48.44,76.37
1916,55.03,11.56,47.71,53.25,34.67,61.01,72.76,103.74,38.86,95.51,46.95,37.04
1917,62.25,32.89,21.11,58.42,29.09,66.22,82.04,78.26,90.37,45.06,26.17,94.97
1918,36.03,34.77,64.81,62.12,24.29,63.56,86.01,49.44,41.15,49.11,81.39,104.53
1919,79.83,30.36,27.86,74.18,76.41,47.56,103.63,75.56,69.12,12.27,9.17,46.11
1920,78.61,17.21,17.64,32.92,54.43,62.47,30.20,71.43,33.01,36.33,39.49,49.80
1921,61.32,41.66,52.25,75.17,41.02,68.66,101.21,95.22,90.35,54.45,63.04,65.56
1922,53.86,47.41,27.68,46.81,76.47,66.47,55.06,61.93,51.34,108.21,59.35,62.07
1923,26.36,29.25,30.68,73.09,77.62,73.89,94.54,104.26,76.13,43.59,37.75,25.68
1924,46.86,40.77,45.82,52.58,46.08,45.09,70.31,94.89,83.32,46.64,51.70,87.09
1925,51.24,51.76,46.86,28.85,82.68,109.72,108.20,56.35,40.92,90.82,53.13,43.55
1926,55.70,32.55,50.20,80.57,45.14,104.60,101.70,114.34,78.08,33.01,56.00,31.21
1927,50.28,52.47,24.25,58.54,53.55,65.46,41.72,90.52,28.14,66.77,86.45,52.80
1928,34.59,20.46,10.52,45.62,43.94,69.82,72.21,52.07,31.38,82.75,41.53,79.88
1929,33.34,15.67,35.45,67.56,85.58,52.94,125.42,88.08,79.51,87.36,89.98,31.60
1930,79.64,41.81,31.50,62.10,67.10,77.15,127.19,112.92,76.28,43.51,21.62,44.03
1931,46.19,10.83,28.57,53.99,82.55,51.97,93.18,56.66,77.22,91.90,41.90,12.38
1932,29.73,39.93,30.01,29.87,80.47,101.49,70.20,51.56,45.40,62.21,38.67,18.31
1933,45.67,20.49,37.97,35.13,30.34,71.97,54.19,95.33,53.77,65.91,41.54,51.05
1934,47.99,73.89,28.13,86.10,53.67,87.70,42.18,58.97,73.04,88.39,34.41,52.53
1935,68.83,51.03,25.40,71.91,46.78,67.84,115.58,62.84,74.62,59.16,46.50,38.87
1936,56.44,81.26,62.97,70.30,58.69,74.02,58.77,68.14,67.85,31.02,35.20,48.10
1937,82.13,27.82,24.10,29.95,63.92,54.55,81.87,95.35,46.40,63.15,45.44,44.64
1938,62.69,23.89,66.67,51.02,76.36,63.25,93.42,78.73,76.70,111.15,85.19,46.31
1939,29.29,34.08,71.27,49.87,56.38,65.46,115.45,75.01,95.35,33.03,78.94,57.99
1940,56.90,43.42,52.61,46.34,60.00,67.40,91.63,115.64,34.79,96.18,29.90,54.39
1941,40.54,26.20,35.66,31.38,65.57,55.84,112.24,50.49,55.10,65.38,47.33,32.59
1942,47.19,30.93,21.17,52.19,40.04,88.50,57.49,72.63,65.52,10.64,57.28,27.59
1943,62.61,46.09,46.48,36.79,46.61,91.59,90.13,47.39,72.48,61.01,115.92,53.54
1944,46.98,64.37,33.62,50.87,64.16,71.85,68.16,119.78,53.74,34.98,41.70,60.88
1945,37.77,85.09,28.12,22.78,62.76,118.20,80.72,70.11,67.57,47.33,34.11,35.74
1946,31.69,28.06,72.82,43.42,39.96,63.12,72.78,27.85,28.78,18.59,98.47,91.46
1947,92.48,54.91,25.70,37.57,52.11,84.23,101.65,105.85,34.00,33.43,26.87,23.80
1948,38.19,25.37,37.30,53.51,84.21,53.05,43.68,65.65,43.64,27.86,54.22,77.72
1949,44.09,65.60,22.55,75.04,59.40,57.79,101.65,87.66,80.13,37.78,93.50,49.25
1950,69.14,42.55,64.15,40.56,65.00,92.81,64.28,72.96,56.51,11.88,79.31,41.37
1951,60.98,39.11,62.18,31.76,50.84,68.68,45.66,71.61,81.24,77.54,91.93,59.62
1952,36.20,37.78,11.24,43.05,56.64,117.17,94.29,51.05,41.09,24.30,17.20,28.37
1953,57.82,22.04,26.93,47.69,50.64,61.02,126.50,113.94,87.63,67.15,39.15,81.68
1954,57.66,49.93,30.69,38.24,66.47,86.92,97.95,60.45,62.00,48.04,21.26,79.58
1955,59.97,24.41,42.69,58.29,46.96,102.15,96.30,98.77,43.28,80.99,44.41,41.31
1956,36.52,72.97,52.28,25.26,47.52,73.15,108.87,82.92,99.77,28.51,30.29,43.11
1957,62.10,88.76,29.47,46.42,83.20,79.84,91.26,93.18,58.52,69.48,29.25,61.84
1958,54.78,7.86,33.14,54.27,45.32,57.23,60.88,68.39,7.76,47.68,35.50,51.69
1959,59.63,38.26,32.29,37.11,62.84,63.10,89.20,116.85,50.18,97.16,69.42,70.51
1960,54.04,50.92,39.09,68.50,90.08,86.28,84.23,74.36,38.12,47.73,52.64,73.93
1961,60.96,55.36,48.41,46.24,78.88,34.62,76.02,71.50,57.82,19.05,28.34,64.70
1962,23.02,19.04,47.40,42.57,52.93,82.00,55.12,112.19,51.79,39.09,83.88,11.14
1963,21.97,30.56,44.47,50.75,63.97,63.10,39.00,73.76,47.16,62.83,61.94,40.34
1964,74.69,32.22,52.03,84.83,90.53,95.02,120.12,60.78,73.34,14.21,74.41,105.61
1965,43.25,60.19,58.56,69.95,64.98,107.76,112.14,99.57,36.46,64.92,55.43,104.83
1966,50.64,44.16,64.91,41.72,76.58,74.02,62.20,77.07,78.99,59.03,47.67,68.72
1967,73.51,37.47,41.31,43.01,64.50,83.08,76.22,102.50,104.47,59.20,41.04,29.55
1968,43.82,44.73,39.94,65.27,73.52,92.34,45.14,99.69,20.76,18.32,76.31,31.02
1969,40.88,95.68,53.35,85.03,67.06,61.22,82.49,76.15,52.05,77.24,63.85,39.45
1970,27.24,30.27,28.91,30.22,65.63,111.61,31.74,66.26,39.70,27.70,59.02,33.43
1971,19.02,11.38,36.09,60.79,80.69,93.62,81.21,71.21,40.91,27.11,74.20,15.25
1972,29.08,42.77,22.73,60.78,58.65,59.67,86.41,38.03,46.54,64.72,71.03,55.42
1973,48.41,45.28,32.68,17.85,61.32,81.49,85.37,64.99,64.55,107.98,65.83,103.58
1974,56.67,17.04,48.93,52.85,48.35,82.17,73.59,73.15,54.30,33.43,56.34,24.41
1975,89.19,19.15,19.93,25.11,54.75,31.93,65.80,37.66,59.29,39.88,55.68,40.16
1976,51.94,70.04,45.31,72.98,37.77,84.27,70.67,92.26,40.97,40.46,90.11,48.78
1977,40.03,33.99,69.90,25.99,87.59,71.83,69.74,84.94,87.25,43.27,19.24,76.55
1978,42.13,40.28,81.80,59.53,59.90,77.52,63.16,70.89,54.24,25.66,85.42,87.71
1979,40.91,43.89,39.19,70.05,38.60,106.00,119.88,66.49,50.35,71.51,48.24,56.73
1980,70.76,30.21,85.46,34.85,74.71,87.61,93.58,71.01,66.14,110.73,70.75,82.31
1981,68.80,13.18,43.88,31.40,60.85,84.56,56.40,69.90,28.26,74.79,40.49,70.14
1982,75.09,38.50,52.34,90.68,113.64,57.18,30.74,57.76,60.46,39.04,47.20,48.27
1983,80.65,53.23,19.97,36.93,98.38,78.78,66.03,51.93,99.36,57.90,47.51,37.02
1984,47.54,24.70,43.67,58.19,62.05,97.37,63.46,82.37,46.15,15.33,59.71,65.87
1985,84.16,14.58,63.20,56.12,80.30,67.05,70.25,80.97,53.05,63.53,36.78,86.52
1986,52.35,48.86,55.99,38.62,85.73,108.78,105.85,72.35,79.24,43.76,65.72,47.56
1987,67.39,74.53,108.61,24.80,44.63,66.58,96.49,58.22,60.04,47.86,49.61,85.10
1988,18.71,41.11,47.70,78.69,25.35,61.19,77.62,64.46,45.63,51.44,41.55,68.75
1989,35.64,83.23,32.10,50.92,36.70,110.31,41.79,65.75,80.72,45.75,75.16,59.83
1990,38.03,22.06,32.28,34.79,46.55,108.72,59.75,44.57,47.16,30.64,66.49,62.09
