Variable:,pr
Country:,Japan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,52.34,39.47,99.55,146.85,224.11,173.50,234.51,259.79,197.82,112.86,100.28,133.88
1902,112.94,78.30,150.81,142.60,213.11,137.45,387.86,84.15,186.23,155.46,121.32,83.63
1903,47.52,57.44,116.31,152.85,140.59,244.71,244.54,93.27,189.34,146.82,74.49,85.70
1904,71.22,62.54,109.60,143.09,136.38,354.68,241.38,396.42,134.05,124.56,63.00,112.24
1905,89.47,124.98,89.91,73.70,139.83,214.99,213.79,124.49,227.82,174.29,73.26,79.43
1906,78.22,56.76,92.05,127.59,154.87,197.89,221.69,212.87,242.79,133.69,97.46,59.39
1907,63.16,42.37,113.12,175.07,125.26,231.48,210.93,235.74,148.49,118.41,64.46,92.25
1908,103.97,62.38,132.07,125.01,150.19,250.55,144.92,137.07,327.83,102.27,99.72,50.02
1909,123.14,64.50,100.08,90.30,114.79,246.79,173.15,250.89,282.61,121.33,96.71,53.57
1910,97.33,48.02,125.35,153.67,96.51,299.93,292.48,273.61,232.44,159.76,112.97,72.35
1911,72.08,134.67,130.82,132.88,104.42,171.81,280.51,100.39,253.75,104.18,71.06,111.17
1912,78.65,57.82,51.65,135.98,161.85,194.63,122.46,200.76,134.26,153.13,102.37,102.90
1913,67.34,70.40,154.66,114.54,175.02,227.90,165.70,213.58,160.74,139.15,101.02,75.50
1914,107.98,141.50,103.08,187.33,136.99,260.50,92.71,210.09,168.51,220.39,81.51,57.54
1915,57.82,118.29,67.44,136.43,122.24,237.04,224.73,146.16,254.08,190.58,133.03,83.70
1916,78.79,51.12,136.40,96.35,68.44,219.70,118.96,159.74,289.47,238.59,90.49,55.79
1917,47.09,53.33,121.47,128.94,132.80,173.25,229.80,201.94,220.87,158.41,126.89,90.52
1918,104.39,84.45,108.17,93.68,96.90,196.67,225.00,204.36,206.77,137.38,101.66,104.19
1919,104.94,99.65,116.21,108.51,149.59,220.23,170.58,260.63,198.58,118.10,101.32,130.21
1920,91.51,65.60,117.85,151.26,147.38,299.69,244.11,151.65,269.56,103.97,80.52,73.59
1921,77.19,146.51,105.56,114.10,93.02,143.41,283.60,154.57,160.32,154.82,138.40,59.64
1922,81.58,85.22,100.75,135.28,209.41,321.46,321.16,80.44,264.32,190.92,137.58,65.51
1923,47.38,71.86,54.78,118.99,151.09,132.93,110.60,169.38,208.95,161.47,97.22,56.25
1924,45.67,67.26,71.31,88.79,137.22,150.29,163.59,198.77,302.17,103.24,118.43,122.46
1925,63.66,76.72,80.41,89.85,152.90,114.13,204.92,139.47,225.03,135.17,66.39,108.83
1926,58.90,61.40,144.38,113.61,123.07,110.55,221.60,233.26,229.11,95.16,86.08,71.88
1927,116.02,86.88,88.56,110.66,101.46,299.82,196.14,153.74,161.36,129.28,107.17,73.16
1928,42.47,50.88,68.48,112.29,139.27,120.41,157.98,167.50,267.82,153.70,132.82,107.15
1929,54.98,81.63,117.00,141.89,104.78,186.27,168.49,181.36,135.04,138.74,126.43,61.23
1930,89.38,85.51,91.99,136.93,129.87,165.86,322.22,114.95,178.07,179.76,96.06,100.90
1931,45.98,66.91,69.86,154.17,118.34,164.87,238.15,238.96,249.05,76.12,139.69,89.96
1932,74.12,50.66,121.44,142.88,118.59,132.26,157.11,180.91,122.58,197.94,103.83,76.30
1933,54.38,46.11,86.03,112.55,105.47,159.41,177.99,119.11,259.54,124.41,123.04,72.13
1934,68.87,85.65,99.25,137.19,98.41,274.62,205.20,287.45,275.26,135.53,95.70,95.23
1935,62.91,71.74,63.31,192.76,136.74,127.83,296.22,202.72,158.28,161.60,81.97,79.89
1936,72.70,131.57,113.91,104.51,126.54,143.04,234.74,114.70,188.45,145.39,118.33,97.13
1937,76.81,74.71,89.11,82.46,187.30,221.54,226.20,177.15,141.67,217.03,68.91,77.89
1938,80.35,59.14,105.90,120.99,95.92,164.16,126.76,178.97,200.16,142.24,91.45,38.60
1939,45.13,96.61,69.75,127.57,60.99,190.86,182.39,209.72,156.57,106.11,72.70,66.97
1940,79.16,73.82,106.22,95.21,190.17,273.05,268.11,195.55,247.19,127.05,85.23,87.17
