Variable:,pr
Country:,Mexico
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.94,9.89,8.18,12.04,35.96,86.19,134.38,108.30,129.07,68.66,27.79,30.39
1902,23.24,17.58,18.68,13.93,27.94,127.64,109.36,141.70,138.34,59.45,17.38,15.34
1903,12.24,10.52,14.90,21.06,61.18,102.54,130.19,114.10,132.46,85.16,34.61,30.29
1904,23.29,31.26,23.71,17.42,30.57,113.88,121.03,127.22,145.97,55.72,47.28,52.13
1905,20.39,30.42,22.02,23.17,30.35,72.04,129.96,152.05,142.92,71.61,38.23,29.54
1906,20.08,16.60,6.96,16.43,48.62,80.31,128.67,135.88,104.09,83.00,50.27,23.29
1907,19.74,18.79,10.12,23.23,48.46,82.20,143.07,132.30,123.07,45.87,21.55,19.99
1908,12.24,10.10,15.25,16.67,26.36,94.36,133.32,145.26,97.96,50.17,14.74,31.92
1909,15.88,10.18,14.64,11.34,34.70,103.39,120.51,123.54,113.62,85.32,18.96,15.87
1910,21.03,22.21,18.38,20.48,46.10,72.74,138.09,100.77,93.13,95.06,40.76,24.57
1911,25.01,21.02,15.26,11.81,34.90,129.10,101.16,112.38,114.81,91.00,18.37,20.48
1912,24.01,17.17,19.93,26.94,48.79,145.13,120.54,97.14,175.68,48.29,34.88,30.42
1913,21.98,11.83,12.19,25.30,83.14,100.22,105.50,118.15,116.53,88.86,31.26,36.05
1914,32.03,14.96,21.75,16.51,33.93,81.82,129.91,114.84,142.12,58.05,21.20,25.26
1915,27.14,13.58,12.73,16.00,36.96,84.14,134.23,162.21,140.42,66.34,29.88,19.13
1916,21.18,17.66,10.48,11.86,27.25,65.12,134.92,107.82,103.10,49.49,25.15,13.37
1917,22.31,11.99,21.47,13.46,32.92,98.94,105.69,129.72,111.54,98.62,26.77,28.78
1918,24.22,14.18,16.10,20.62,30.86,107.87,155.99,116.73,166.21,123.75,47.03,20.43
1919,26.48,11.80,8.90,13.18,49.13,105.80,103.81,126.23,99.45,51.64,23.52,22.15
1920,8.93,12.28,8.91,21.04,37.49,79.96,136.30,109.48,128.10,102.12,28.58,20.61
1921,13.17,11.47,14.66,15.28,33.95,119.87,121.88,99.32,163.75,80.50,34.65,14.07
1922,13.45,25.47,26.30,11.65,27.68,107.36,110.49,118.77,124.11,80.46,41.48,45.55
1923,18.72,12.87,10.36,10.64,50.39,113.52,115.76,117.43,151.94,44.50,10.36,30.91
1924,27.47,9.76,16.45,16.19,45.25,127.15,120.70,105.44,158.05,90.49,47.48,65.43
1925,27.14,6.94,14.94,21.06,32.81,114.16,150.55,128.84,136.61,99.68,21.11,25.94
1926,8.62,25.00,8.67,19.71,40.07,136.43,121.55,99.51,162.02,71.15,21.94,39.44
1927,29.51,19.57,14.02,7.51,41.86,72.31,125.90,115.84,161.68,62.40,37.83,21.67
1928,15.95,4.05,7.09,5.33,50.29,87.02,139.62,115.46,138.48,51.67,42.00,22.82
1929,22.42,20.84,16.30,15.81,75.96,113.50,116.80,92.70,75.58,134.73,46.14,33.75
1930,44.33,32.10,6.24,13.82,45.98,106.23,194.08,127.33,122.46,58.12,16.90,45.49
1931,25.38,21.59,12.21,11.87,28.09,95.97,140.90,139.41,150.04,113.31,16.21,40.22
1932,22.55,17.65,5.07,13.12,47.70,78.94,141.44,181.85,202.17,56.66,18.91,12.87
1933,19.28,15.81,18.10,21.81,63.60,68.58,120.36,123.71,150.02,48.21,13.18,23.25
1934,26.68,25.50,16.21,13.32,44.06,131.32,133.89,134.05,155.19,59.41,15.73,29.17
1935,14.22,7.19,11.00,18.55,50.45,80.47,168.49,129.38,165.54,67.88,32.97,26.37
1936,36.53,19.99,14.05,20.04,65.03,102.99,144.35,112.34,140.55,64.98,8.74,43.46
1937,17.09,22.70,12.78,15.01,41.75,121.20,140.78,112.93,135.87,31.66,30.39,14.63
1938,21.30,5.53,6.33,19.71,37.78,102.23,100.32,108.20,136.71,86.52,15.67,34.17
1939,22.14,8.34,22.68,7.45,38.47,106.17,101.08,113.42,74.63,46.96,44.79,58.08
1940,18.24,19.18,19.93,25.73,56.30,119.94,117.28,108.37,174.55,91.57,44.06,46.09
1941,13.17,21.23,10.09,15.08,31.86,92.81,120.10,169.45,150.01,41.29,42.09,25.53
1942,24.07,13.94,12.54,13.72,41.94,113.58,109.56,122.55,159.28,87.57,26.92,33.75
1943,20.24,15.07,24.07,5.76,27.75,104.62,108.36,176.97,176.75,37.45,27.23,15.18
1944,17.86,14.36,8.10,9.37,27.59,64.74,126.09,134.18,100.25,88.90,11.40,11.97
1945,30.98,15.55,6.09,33.30,41.41,100.98,91.94,121.99,135.54,106.96,40.31,28.31
1946,28.48,13.76,11.24,17.95,60.46,92.58,89.03,165.94,119.31,71.45,52.92,32.93
1947,21.16,16.99,10.31,16.27,47.85,117.96,147.41,92.66,120.77,81.09,38.36,21.57
1948,37.74,18.71,9.33,18.38,33.17,96.64,106.71,91.82,145.89,86.57,6.08,25.04
1949,20.68,8.19,20.45,17.21,46.60,96.88,144.73,95.65,114.51,85.32,6.52,4.52
1950,10.93,4.80,21.48,8.00,50.84,90.61,130.39,116.45,144.81,71.39,23.25,19.10
1951,8.63,9.22,18.92,30.97,51.80,137.80,128.29,124.59,140.09,52.48,32.70,20.52
1952,3.10,15.45,10.60,11.40,29.04,82.14,118.95,122.84,87.52,102.96,23.53,22.35
1953,16.95,9.43,9.01,25.93,55.60,120.51,132.26,124.87,140.44,100.86,13.49,7.17
1954,28.98,11.22,3.99,5.06,19.84,76.00,186.85,159.46,173.97,104.16,26.67,21.58
1955,13.87,9.42,6.62,18.07,74.35,127.01,123.64,93.98,123.24,44.19,22.14,11.38
1956,24.48,24.00,26.06,21.13,35.91,81.99,99.47,103.79,128.93,65.92,18.79,13.55
1957,37.85,24.41,20.65,10.44,46.19,151.51,153.62,125.78,204.51,133.09,54.48,27.15
1958,15.27,18.18,8.86,33.76,36.76,123.49,123.19,138.36,89.17,131.02,30.19,22.66
1959,34.27,7.06,4.80,16.71,27.80,75.69,149.14,153.84,105.93,95.03,24.76,23.93
1960,44.22,9.76,14.96,13.67,27.35,143.28,149.12,108.41,116.27,60.52,46.58,19.29
1961,16.75,4.44,8.91,28.88,21.96,113.95,101.68,99.41,150.66,82.75,21.04,18.46
1962,10.47,16.20,12.61,10.86,32.69,92.19,168.53,114.43,145.53,51.81,38.08,33.75
1963,17.37,5.47,16.02,11.23,52.58,103.96,122.64,98.45,146.62,52.23,29.52,28.38
1964,18.78,27.73,10.14,16.59,30.23,86.02,106.67,148.99,115.94,92.30,22.83,54.73
1965,23.51,24.05,18.26,32.57,56.96,127.32,126.37,148.66,127.12,99.41,12.14,11.07
1966,30.81,10.33,16.17,24.15,26.88,107.59,91.77,173.33,178.12,87.91,26.43,41.68
1967,30.49,29.65,26.51,24.78,51.76,100.27,136.75,121.73,133.64,81.12,29.86,24.77
1968,19.52,12.94,11.89,17.54,31.56,63.39,158.28,192.13,148.38,76.33,25.38,23.81
1969,14.48,21.05,11.01,8.00,23.46,125.84,142.99,136.65,189.99,49.06,15.14,7.93
1970,9.56,6.04,8.79,9.32,33.27,117.50,109.20,162.93,156.71,116.46,29.58,19.13
1971,24.99,6.73,15.27,14.66,57.50,140.80,136.33,113.99,112.05,66.61,58.25,24.38
1972,19.87,35.89,8.31,14.59,41.73,119.63,139.06,201.54,127.56,98.96,20.87,16.22
1973,20.87,7.33,17.55,15.97,46.76,115.61,130.44,105.16,176.12,39.53,29.08,19.79
1974,26.01,10.16,6.99,4.73,44.90,75.41,168.18,136.90,133.41,73.96,22.81,16.56
1975,14.22,11.77,7.78,24.40,39.35,116.18,177.65,120.72,140.87,91.30,63.85,28.68
1976,18.30,11.57,8.32,22.23,37.15,103.74,102.07,130.60,107.13,72.56,20.85,22.41
1977,19.69,23.42,22.63,8.97,53.38,104.50,134.64,127.58,187.91,94.93,24.50,36.67
1978,34.24,15.08,14.40,27.93,34.63,81.62,127.03,132.14,129.91,39.39,18.53,33.74
1979,33.90,21.23,6.88,16.96,29.01,70.08,109.82,166.67,151.72,61.80,29.56,18.11
1980,50.88,16.31,22.65,34.64,48.84,142.58,164.07,147.76,120.74,96.42,11.16,15.83
1981,14.78,18.01,11.57,24.18,56.66,59.77,102.03,82.08,113.88,73.10,44.47,49.09
1982,29.31,39.71,40.99,10.51,37.23,73.19,146.37,138.59,153.00,74.27,39.27,24.15
1983,43.79,9.30,7.62,4.39,82.88,134.67,185.68,136.87,161.74,42.48,19.32,47.87
1984,29.93,13.24,12.98,37.34,38.27,138.56,142.50,125.19,107.95,77.35,31.29,21.38
1985,19.41,13.85,9.68,19.25,69.06,116.56,112.65,106.07,119.42,79.74,32.83,31.07
1986,16.37,17.90,14.14,16.75,35.89,102.74,153.01,112.92,114.06,21.16,18.59,22.07
1987,23.69,9.00,13.11,12.95,20.04,130.00,152.39,183.83,144.84,47.96,11.47,17.59
1988,21.15,19.50,8.01,18.45,30.55,77.17,118.89,154.82,140.02,62.61,34.94,33.49
1989,16.83,21.69,16.93,24.07,45.19,98.85,171.73,131.08,134.68,85.64,31.37,37.35
1990,19.49,20.96,9.04,6.92,33.85,101.94,138.03,106.73,146.37,78.90,33.89,54.07
1991,51.83,27.21,22.11,25.19,56.84,76.30,142.40,117.86,112.89,70.33,39.57,28.73
1992,32.07,18.30,9.64,14.90,33.83,153.46,121.64,125.35,163.10,58.47,27.34,11.17
1993,22.06,13.61,14.78,15.88,31.96,94.12,84.56,130.83,102.86,79.05,27.86,34.60
1994,14.69,18.10,13.72,20.52,37.61,84.59,133.51,177.45,129.77,71.95,23.94,26.82
1995,13.01,6.74,9.25,20.30,35.46,117.04,115.44,162.11,116.79,83.64,25.49,10.97
1996,17.07,15.48,26.69,40.23,50.06,88.43,96.67,92.63,118.35,89.42,58.48,32.24
1997,9.92,18.61,10.15,6.49,14.41,75.53,125.13,139.68,203.29,106.01,60.41,9.03
1998,6.23,5.29,8.91,8.73,27.38,139.92,178.84,136.92,149.78,87.67,17.60,17.69
1999,9.97,6.57,13.40,10.04,63.15,137.49,93.80,124.35,125.45,91.76,31.04,12.80
2000,13.85,18.97,20.71,20.81,50.11,83.35,120.48,119.35,131.51,63.83,21.90,20.47
2001,13.35,23.83,7.42,8.38,35.66,100.68,119.64,94.11,165.34,95.21,40.29,21.46
2002,12.89,18.30,12.88,14.21,30.90,120.75,114.90,124.30,169.04,105.84,34.74,13.18
2003,42.06,12.68,28.74,26.58,67.66,111.89,125.13,107.78,171.77,109.37,20.55,11.64
2004,20.96,26.56,12.20,13.88,48.95,77.02,143.19,139.63,108.30,100.48,19.18,11.31
2005,18.14,6.32,10.26,12.12,67.62,89.28,147.03,158.61,150.34,96.36,30.66,25.64
2006,34.17,17.17,8.91,13.34,43.69,108.97,144.86,158.80,141.52,72.85,21.38,12.42
2007,11.27,10.94,12.20,21.38,34.35,106.45,175.60,166.85,157.34,80.88,9.77,7.78
2008,13.15,9.38,9.56,8.27,45.85,115.12,83.67,103.21,141.51,87.39,31.70,31.91
2009,31.69,26.13,7.15,26.10,39.95,93.16,229.70,153.23,181.60,16.88,10.36,7.56
2010,10.49,10.34,10.30,11.41,17.90,101.92,168.61,140.64,98.63,71.84,31.88,18.95
2011,14.66,28.07,11.47,15.88,40.44,97.21,132.83,148.17,119.91,57.22,24.43,16.75
2012,23.35,8.67,8.65,11.30,49.60,106.11,161.46,140.10,219.56,99.61,59.52,37.28
2013,13.85,8.27,17.04,13.74,71.71,136.81,98.83,143.55,188.37,109.22,41.91,17.97
2014,26.61,19.04,30.31,24.50,51.88,102.61,105.92,96.59,123.64,96.27,50.47,27.36
2015,23.24,6.43,22.91,17.83,39.80,115.95,135.05,180.16,130.51,52.44,35.90,33.93
2016,13.89,12.23,22.06,17.23,48.36,115.47,137.30,155.77,166.96,65.46,11.97,24.18
2017,24.21,16.40,10.42,26.48,38.85,122.55,73.26,124.34,160.55,110.41,45.35,24.91
2018,20.12,10.54,9.76,13.17,36.49,93.83,92.45,113.81,142.18,117.78,42.98,22.06
2019,22.45,20.37,13.24,15.57,48.99,100.57,123.25,128.57,132.40,41.65,28.88,11.54
2020,,,,,,,,,,,,
