Variable:,pr
Country:,Russia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.02,16.79,19.58,22.67,34.73,54.00,63.32,64.20,48.89,37.42,25.28,23.40
1902,21.41,18.26,15.33,22.56,37.78,50.79,65.29,70.55,48.35,37.39,27.03,19.89
1903,18.04,21.10,12.80,19.18,37.62,56.11,65.20,65.48,41.85,32.54,29.88,25.52
1904,20.19,13.61,14.22,22.39,36.90,49.83,65.64,66.56,52.39,43.01,30.51,25.54
1905,21.36,13.81,23.39,18.57,36.56,54.29,69.48,65.09,44.54,33.41,29.29,25.83
1906,20.08,12.86,14.42,22.95,39.40,48.25,65.17,68.31,43.42,34.40,25.65,26.81
1907,21.12,16.15,14.65,19.18,38.93,55.85,63.49,68.13,48.45,35.05,28.19,23.35
1908,18.16,14.68,15.27,27.09,35.67,50.77,70.86,60.07,42.86,29.47,35.84,24.60
1909,22.68,13.48,17.26,22.13,33.40,51.84,64.48,64.59,41.98,33.05,30.07,25.25
1910,17.54,16.03,15.26,23.28,31.28,48.79,61.61,64.27,46.24,34.16,31.05,20.80
1911,22.53,18.49,19.54,26.37,41.37,56.58,61.65,63.55,39.94,34.98,28.71,24.94
1912,19.01,15.34,21.88,20.26,32.90,52.62,68.63,63.88,47.09,33.48,33.09,28.33
1913,23.15,17.46,21.53,23.56,35.17,51.80,62.94,66.25,48.32,28.99,27.24,21.73
1914,24.84,18.98,20.89,22.00,37.22,59.93,65.58,65.11,51.94,30.52,29.68,28.14
1915,23.65,14.51,12.67,21.65,36.60,52.82,64.92,70.73,47.28,31.26,28.04,22.64
1916,20.77,16.33,17.19,22.52,29.17,44.61,67.36,62.64,47.80,32.64,30.28,21.10
1917,23.47,15.18,16.43,17.63,30.69,54.29,67.75,60.31,51.28,32.81,25.16,23.58
1918,16.27,19.90,18.72,23.52,30.49,54.43,67.30,72.34,50.42,37.78,30.33,24.35
1919,23.64,14.01,16.26,22.29,32.00,56.99,61.29,58.98,41.01,32.66,24.41,20.14
1920,23.89,14.21,18.10,20.53,34.54,49.91,63.24,57.55,47.50,36.55,24.89,24.73
1921,18.97,16.43,21.61,23.66,40.02,56.59,71.84,65.34,47.47,38.40,29.22,24.68
1922,20.10,13.51,16.50,22.69,36.05,52.27,71.60,66.47,42.99,43.28,34.10,24.56
1923,19.19,13.27,17.43,24.60,36.01,51.79,71.05,59.19,46.34,33.33,29.81,22.09
1924,20.17,16.54,20.85,22.04,33.85,58.04,62.49,66.76,53.39,36.35,32.31,27.46
1925,18.91,13.43,17.80,21.56,34.72,49.73,65.53,68.45,49.43,40.24,29.30,24.88
1926,17.67,13.57,17.92,26.92,38.24,54.91,72.58,65.96,49.55,43.24,34.78,23.13
1927,19.03,14.63,13.51,22.53,34.83,59.73,69.84,68.67,49.30,36.54,30.30,19.06
1928,16.73,12.13,20.12,26.41,32.94,55.56,72.41,62.66,45.49,38.69,26.38,18.70
1929,19.07,16.46,22.26,20.10,35.59,49.86,68.14,64.46,49.26,35.74,32.78,21.27
1930,19.17,10.40,20.34,19.79,31.03,51.30,58.60,66.15,53.13,41.01,23.11,23.89
1931,22.28,14.57,17.41,25.24,37.71,60.79,64.08,55.52,43.60,41.80,30.42,22.59
1932,13.94,13.69,16.14,24.89,36.94,48.57,68.79,70.76,47.36,30.22,30.44,22.76
1933,15.35,15.20,14.65,20.80,32.76,53.09,61.21,61.91,41.30,36.32,28.73,18.07
1934,16.63,17.37,16.53,25.01,39.47,51.17,66.98,67.28,53.17,41.45,22.29,19.72
1935,20.45,15.20,13.97,19.95,28.48,52.04,66.67,64.01,53.06,41.43,31.21,22.03
1936,16.43,16.75,16.90,19.41,33.17,51.72,76.03,61.72,50.89,35.76,25.04,25.58
1937,17.33,17.24,19.45,29.80,39.04,61.18,66.07,64.19,42.29,37.31,30.77,16.53
1938,18.41,16.19,15.20,26.61,37.26,54.58,65.46,64.05,49.58,36.59,25.87,23.77
1939,15.73,13.25,19.90,26.06,31.84,53.85,72.23,65.51,48.07,36.14,33.18,24.43
1940,18.98,14.84,18.94,26.52,38.59,61.74,66.44,69.58,50.28,39.22,24.61,20.88
1941,16.84,12.63,15.77,21.02,36.41,64.02,75.70,69.19,46.93,41.86,30.87,22.53
1942,17.08,14.80,13.89,24.27,42.51,60.02,72.89,70.24,53.45,33.38,25.84,22.98
1943,18.53,15.47,20.27,22.18,42.15,57.37,78.31,65.85,48.97,35.86,24.38,18.29
1944,13.12,11.19,16.14,26.52,40.73,59.87,71.51,64.73,51.90,38.14,26.70,22.25
1945,18.66,18.86,15.95,23.04,31.50,57.26,73.55,72.82,54.78,35.65,29.39,18.44
1946,15.80,17.10,20.58,25.08,36.46,53.65,67.39,68.63,44.67,35.64,31.63,21.82
1947,23.67,18.56,16.83,26.96,38.05,59.64,76.22,71.84,48.18,41.49,27.08,20.07
1948,21.46,15.86,11.79,23.11,42.50,56.76,67.61,72.84,46.43,34.72,23.08,23.34
1949,19.64,17.49,16.63,23.57,35.71,58.94,74.67,71.40,52.75,35.15,31.59,22.83
