Variable:,pr
Country:,Turkey
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,73.08,53.26,56.60,55.06,54.07,22.10,17.99,9.54,14.23,46.25,84.16,83.27
1902,61.51,61.84,47.52,46.92,51.57,35.06,16.76,16.02,15.10,33.08,55.07,72.54
1903,63.00,50.25,74.25,57.73,73.50,33.57,13.88,9.19,23.69,42.10,86.72,87.41
1904,78.00,54.69,59.94,54.84,42.71,29.66,10.87,10.44,13.07,48.79,50.52,62.47
1905,67.54,66.32,59.33,53.91,67.40,32.13,16.76,11.67,15.34,46.17,62.57,97.25
1906,70.66,60.96,74.98,61.30,41.30,29.67,16.03,11.72,19.15,33.43,63.18,76.44
1907,64.57,55.98,69.46,55.81,49.54,46.22,11.40,9.81,17.96,32.76,69.68,76.14
1908,63.14,66.17,64.85,53.75,43.04,36.62,9.89,13.87,22.53,56.68,70.73,62.23
1909,72.16,55.99,59.52,57.12,74.20,33.86,21.93,12.34,17.09,39.59,53.13,66.56
1910,77.24,62.20,60.32,64.03,61.74,31.20,13.03,11.64,19.18,36.50,53.25,90.73
1911,72.57,62.38,56.92,63.47,58.36,31.39,17.40,11.60,15.66,53.16,59.36,81.89
1912,75.56,67.84,54.97,57.12,61.55,26.67,14.30,9.60,19.97,48.69,56.14,83.76
1913,75.74,48.00,58.56,68.79,58.26,36.99,16.82,12.46,18.37,47.42,66.17,79.65
1914,67.10,56.90,65.49,71.37,54.38,37.03,17.84,12.96,17.56,42.30,56.18,67.98
1915,70.80,61.43,54.03,65.06,57.93,27.87,12.84,10.69,21.50,33.86,47.78,84.39
1916,74.61,63.88,59.01,58.18,58.81,31.42,11.98,11.96,16.97,38.76,57.48,79.23
1917,65.09,62.97,55.78,57.39,57.14,33.74,13.14,13.07,21.91,50.07,59.80,90.34
1918,72.52,68.01,60.58,60.15,63.98,36.01,14.71,11.25,16.95,45.39,58.83,84.46
1919,72.23,62.19,66.31,61.37,72.09,37.91,16.13,14.27,22.65,54.35,60.10,72.50
1920,67.35,60.93,57.27,72.77,52.53,48.57,18.13,11.54,18.59,38.90,68.40,86.55
1921,80.96,62.93,51.35,60.44,51.50,34.65,21.93,15.81,18.17,44.79,69.13,74.89
1922,77.09,61.92,59.09,66.02,61.98,33.62,15.22,13.02,16.43,40.14,47.96,80.70
1923,79.88,63.32,57.06,58.58,54.28,36.20,13.42,12.54,18.03,51.04,62.60,75.38
1924,67.72,48.66,57.77,60.46,51.48,38.28,12.93,10.64,16.67,47.04,57.27,81.86
1925,78.36,60.73,76.21,51.87,52.28,25.66,17.44,7.91,13.36,28.42,28.96,86.19
1926,58.58,62.21,40.75,69.25,41.76,24.36,20.33,8.81,12.28,34.70,47.45,94.03
1927,58.94,74.47,50.37,47.66,41.81,22.70,10.48,7.92,13.04,32.92,83.16,82.89
1928,68.77,81.41,57.20,58.45,63.35,32.03,6.98,13.23,43.06,37.91,31.36,65.25
1929,46.63,56.05,45.29,53.55,61.94,47.65,15.68,10.47,29.50,51.81,44.98,84.01
1930,84.45,61.04,74.80,94.41,60.24,51.56,15.44,12.05,18.51,23.04,49.54,87.39
1931,57.67,64.09,56.91,49.09,38.33,20.29,8.16,8.14,13.33,11.34,73.89,17.35
1932,57.60,71.62,57.50,58.08,58.70,44.57,23.98,7.40,21.96,27.25,55.23,101.53
1933,48.49,65.85,31.17,41.92,69.69,33.99,17.49,8.31,16.78,41.81,35.86,67.27
1934,95.06,85.97,66.09,63.44,18.46,15.40,12.35,12.75,26.06,53.46,86.73,72.60
1935,38.66,107.11,48.23,64.29,98.66,51.50,28.17,14.51,18.95,54.63,55.45,73.88
1936,68.84,40.91,22.05,70.48,55.95,22.93,8.99,17.20,8.30,60.71,90.83,64.06
1937,94.15,70.78,44.21,76.34,53.43,9.93,23.22,13.33,41.43,23.44,64.73,82.60
1938,55.43,47.06,100.35,44.54,32.79,49.89,18.47,28.86,31.47,29.46,79.07,108.18
1939,98.51,78.82,53.28,73.84,72.75,48.82,15.95,13.97,12.26,60.05,45.65,137.82
1940,90.73,67.77,73.16,55.76,26.72,24.34,18.94,12.74,19.03,51.97,58.49,74.60
1941,120.46,58.53,72.78,42.02,36.29,16.02,9.24,20.57,22.00,71.15,112.82,36.46
1942,111.31,43.25,39.79,55.33,65.47,27.71,10.23,8.35,15.29,61.41,43.66,73.27
1943,86.07,91.14,82.96,59.51,66.57,22.82,14.10,16.36,13.34,50.77,69.78,63.48
1944,109.84,50.96,47.64,42.72,17.76,31.81,10.53,9.58,10.35,37.55,57.81,86.45
1945,43.25,92.45,83.94,59.40,89.63,35.73,17.41,11.11,10.22,73.01,31.73,92.89
1946,110.03,57.58,41.73,24.31,34.34,25.56,20.88,13.17,18.85,38.63,88.61,84.43
1947,67.46,94.68,59.12,71.87,63.39,47.05,3.49,8.29,14.96,29.09,43.85,56.84
1948,65.26,60.61,81.41,70.03,28.71,23.80,18.24,9.62,26.69,15.08,27.23,89.05
1949,83.25,46.46,73.59,49.60,99.36,25.39,9.91,7.29,10.26,52.27,47.80,51.61
1950,74.71,49.28,69.16,64.49,56.39,44.82,23.15,16.73,21.39,83.32,57.61,68.39
1951,65.05,93.18,67.57,34.34,62.69,37.36,12.22,7.38,11.03,29.41,77.78,74.27
1952,102.08,98.12,75.77,54.33,61.71,42.56,7.91,5.84,17.89,42.50,65.18,48.32
1953,102.05,74.99,62.60,72.54,47.97,28.77,11.06,12.89,12.32,26.78,55.60,100.12
1954,46.78,44.99,52.26,66.29,38.55,11.17,21.80,15.08,20.37,35.20,93.03,75.68
1955,61.22,110.27,60.67,29.44,51.81,20.35,7.06,8.18,12.67,19.77,44.79,70.73
1956,45.05,46.29,56.82,47.56,95.51,38.83,11.35,6.28,26.83,23.70,52.56,67.37
1957,96.73,31.03,87.38,55.64,39.48,48.89,13.34,6.39,25.21,30.32,29.84,71.74
1958,104.33,41.21,38.19,38.78,64.90,44.52,22.67,16.00,19.19,41.48,49.54,59.49
1959,87.11,55.10,70.10,80.81,46.65,46.02,13.59,11.08,11.86,17.74,55.39,71.74
1960,70.94,72.72,49.30,39.71,46.45,45.67,10.32,5.39,19.79,27.35,47.71,94.15
1961,45.64,90.32,51.04,57.52,39.37,14.53,13.15,6.30,20.76,46.21,34.24,141.44
1962,114.71,83.73,66.61,93.24,103.38,39.57,25.23,9.17,24.56,54.02,32.00,64.26
