Variable:,pr
Country:,"United States"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,33.59,53.60,62.38,40.25,67.02,67.95,71.18,58.49,66.83,47.07,62.95,63.11
1902,49.82,65.44,63.68,43.51,63.43,65.51,70.06,72.92,52.44,42.74,37.46,34.39
1903,41.41,48.55,63.27,45.43,55.75,68.96,69.18,67.02,56.40,38.88,24.84,47.88
1904,47.34,50.61,60.84,58.48,81.69,75.07,82.44,65.39,61.01,49.93,48.52,51.75
1905,55.10,37.27,69.22,44.68,66.84,71.03,78.97,80.47,66.19,47.94,53.33,63.03
1906,57.29,39.85,49.97,49.15,71.53,71.26,71.48,64.37,63.43,48.16,49.44,58.61
1907,41.75,61.07,48.75,57.25,88.13,68.33,70.07,69.71,47.59,46.51,38.21,40.44
1908,54.95,61.54,50.13,50.49,67.19,75.68,71.47,59.50,55.57,37.25,58.29,58.14
1909,48.70,44.66,23.58,45.91,57.91,59.11,61.52,56.84,53.10,47.54,37.03,39.40
1910,51.86,47.02,39.28,61.04,45.88,51.15,67.68,72.80,63.46,56.28,46.06,66.06
1911,42.54,42.45,74.24,70.29,66.45,63.80,71.57,75.60,62.51,50.62,33.80,48.41
1912,59.97,43.37,63.70,44.66,56.33,60.00,63.31,50.02,70.45,59.09,52.11,51.43
1913,52.12,46.10,42.42,59.15,54.58,67.51,60.33,76.66,52.19,55.98,35.33,58.33
1914,61.14,59.94,35.16,49.56,82.06,73.75,79.70,79.06,68.73,43.94,47.47,59.23
1915,76.27,39.02,44.94,45.56,65.16,75.50,71.52,64.18,51.47,51.37,35.20,49.20
1916,48.72,39.99,52.68,55.75,57.68,58.30,65.85,60.47,53.10,35.08,24.39,32.82
1917,52.25,39.22,42.22,62.51,58.48,53.80,56.52,63.83,60.33,64.97,51.62,61.69
1918,42.33,54.69,56.40,51.42,71.44,68.00,74.99,61.57,58.14,77.84,61.22,42.76
1919,48.39,37.94,60.26,69.21,60.45,66.08,64.20,80.89,57.15,49.81,49.94,59.66
1920,46.67,39.99,55.87,59.04,57.38,64.73,68.29,64.25,60.51,37.05,50.19,51.46
1921,46.41,52.38,74.44,65.43,67.67,61.46,75.10,56.40,39.14,42.82,48.18,57.34
1922,53.50,42.92,54.79,60.97,68.08,74.40,64.29,67.78,71.42,56.22,43.42,62.74
1923,45.63,41.35,50.12,51.63,54.69,64.13,59.75,57.53,69.45,36.66,30.87,57.97
1924,48.09,37.95,36.71,45.35,42.95,67.33,64.10,53.23,72.84,67.76,50.36,38.04
1925,53.79,44.52,51.11,48.07,49.66,56.44,69.39,74.52,76.28,58.98,59.56,61.04
1926,39.71,58.41,57.76,64.98,63.31,71.62,67.80,67.80,59.04,54.29,55.27,60.17
1927,29.96,43.67,51.91,60.84,52.70,93.55,75.35,77.34,55.92,51.43,48.88,41.48
1928,54.06,47.21,61.83,63.87,76.73,61.92,65.61,47.68,67.22,61.37,47.65,47.27
1929,56.39,38.26,46.67,40.20,69.04,56.74,48.61,56.17,59.09,52.00,51.66,33.47
1930,35.51,41.45,49.53,44.59,52.78,51.45,66.84,67.19,51.91,47.09,57.06,74.40
1931,71.22,50.17,48.89,44.86,53.87,71.92,63.84,73.16,56.00,58.28,43.44,63.64
1932,50.48,43.12,54.50,55.35,74.41,37.44,63.69,70.20,56.66,38.33,28.19,52.93
1933,40.43,37.91,51.07,40.42,41.23,59.84,52.51,59.15,66.50,41.77,63.20,45.61
1934,54.12,40.88,60.79,57.91,80.63,70.44,64.04,62.85,60.42,41.54,48.82,40.31
1935,60.57,56.54,47.29,43.67,50.01,44.50,58.57,56.76,68.94,52.71,32.90,64.58
1936,73.37,48.14,47.68,58.78,51.91,71.28,63.19,65.74,49.01,60.66,46.96,52.16
1937,47.56,52.45,69.82,58.79,70.96,72.50,77.42,54.22,61.62,32.38,46.23,40.27
1938,55.06,63.88,46.74,48.16,49.47,76.89,59.61,68.25,44.10,40.21,24.78,41.83
1939,44.39,61.05,49.92,65.42,50.86,69.12,60.04,72.93,51.69,43.10,62.73,64.43
1940,46.21,40.77,47.39,65.32,58.23,86.10,76.08,65.42,71.16,82.96,39.57,61.26
1941,35.97,45.10,55.09,60.06,68.95,81.16,62.50,79.10,68.91,50.97,49.08,63.17
1942,47.64,30.51,63.73,44.98,73.40,74.69,63.19,57.85,49.28,44.59,34.62,43.08
1943,42.52,59.22,69.01,68.18,68.11,67.20,58.71,74.56,58.09,35.82,57.62,48.10
1944,39.91,60.96,67.53,64.31,62.58,79.50,73.75,68.51,82.22,50.23,48.91,57.76
1945,55.31,45.59,58.62,36.66,82.41,65.59,62.23,67.48,62.70,62.46,65.22,44.30
1946,54.86,23.96,50.29,65.60,70.34,85.88,51.48,59.65,55.11,50.19,62.40,45.85
1947,45.04,53.88,67.26,53.23,59.49,72.77,75.64,58.19,47.44,38.63,71.00,55.94
1948,68.75,50.75,54.82,45.63,65.02,77.01,73.53,63.52,54.61,63.60,28.25,49.32
1949,65.99,47.05,51.68,45.79,63.90,66.06,88.65,62.14,63.99,40.55,45.46,42.83
1950,50.31,49.15,55.62,51.32,52.21,79.99,67.56,67.77,63.30,51.53,54.23,67.93
1951,55.34,43.35,64.76,52.70,59.36,52.85,62.19,66.44,40.62,19.39,49.99,53.41
1952,53.14,46.30,56.12,63.05,69.86,61.25,63.08,62.41,39.71,36.63,38.92,54.86
1953,53.46,33.54,49.09,49.82,58.66,56.88,53.17,63.80,51.15,52.62,36.40,46.44
1954,40.56,51.40,45.15,53.26,65.88,61.39,70.59,69.43,52.05,45.81,40.71,46.46
1955,48.38,58.08,40.23,45.75,57.94,52.41,67.54,58.78,39.40,45.50,34.02,42.86
