label,N-max,N-min,P-max,P-min,K-max,K-min,temperature-max,temperature-min,ph-max,ph-min,rainfall-max,rainfall-min,humidity-max,humidity-min
apple,40,0,145,120,205,195,23.99686172,21.0365275,6.4992268210000015,5.514253142,124.9831618,100.1173443,94.92048112,90.02575116
banana,120,80,95,70,55,45,29.90888522,25.01018457,6.490074429,5.505393832999999,119.84796999999999,90.10978128,84.97849241,75.03193255
blackgram,60,20,80,55,25,15,34.9466155,25.09737391,7.775306272000001,6.500144962,74.91559514,60.41790253,69.96100028,60.06534859
chickpea,60,20,80,55,85,75,20.99502153,17.02498456,8.868741443,5.9889927960000024,94.78189594,65.11365631,19.96978871,14.25803981
coconut,40,0,30,5,35,25,29.869083399999997,25.00872392,6.470465614,5.50158009,225.63236559999999,131.09000759999998,99.98187601,90.01734526
coffee,120,80,40,15,35,25,27.92374437,23.05951896,7.493191968,6.020947179,199.4735636,115.1564012,69.94807345,50.04557009
cotton,140,100,60,35,25,15,25.99237426,22.00085141,7.994679507000001,5.801047545,99.93100821,60.65381719,84.87668973,75.00539324
grapes,40,0,145,120,205,195,41.94865736,8.825674745,6.499604931,5.510924848999999,74.91506217,65.01095312,83.98351748,80.01639435
jute,100,60,60,35,45,35,26.98582182,23.09433785,7.4880144039999985,6.002524871,199.83629130000003,150.2355238,89.89106506,70.88259632
kidneybeans,40,0,80,55,25,15,24.92360104,15.33042636,5.99812453,5.502999119,149.7441028,60.27552528,24.96969858,18.09224048
lentil,40,0,80,55,25,15,29.94413861,18.06486101,7.841496029,5.91645379,54.93937710000001,35.03484812,69.92375891,60.09116626
maize,100,60,60,35,25,15,26.54986394,18.04185513,6.995843776,5.513697923,109.7515385,60.65171481,74.82913698,55.28220433
mango,40,0,40,15,35,25,35.99009679,27.00315545,6.9674177660000005,4.507523551,100.8124659,89.29147581,54.9640534,45.02236377
mothbeans,40,0,60,35,25,15,31.99928579,24.01825377,9.93509073,3.5047523139999996,74.44330654,30.92014047,64.95585424,40.00933429
mungbean,40,0,60,35,25,15,29.91454430000001,27.01470397,7.199495367999999,6.2189238929999995,59.87232071,36.12042927,89.99615558,80.03499648
muskmelon,120,80,30,5,55,45,29.94349168,27.02415146,6.781050372999999,6.002927293,29.86681385,20.21126747,94.96218673,90.01506395
orange,40,0,30,5,15,5,34.90665289,10.01081312,7.9958489770000005,6.010391864,119.69465770000001,100.1737964,94.96419851,90.00621688
papaya,70,31,70,46,55,45,43.67549305,23.01240180000001,6.993473247000001,6.501521192,248.85929860000002,40.35153141,94.94482086,90.03863107
pigeonpeas,40,0,80,55,25,15,36.97794384,18.31910448,7.4454448829999995,4.548202098,198.8298806,90.05422663,69.69141302,30.40046769
pomegranate,40,0,30,5,45,35,24.96273236,18.07132963,7.199504273,5.561851831,112.47509409999999,102.51847590000001,94.99897537,85.12912161
rice,99,60,60,35,45,35,26.92995077,20.0454142,7.868474653,5.005306977,298.5601175,182.5616319,84.96907151,80.12267476
watermelon,120,80,30,5,55,45,26.98603693,24.04355803,6.956508826,6.000975617000001,59.75980023,40.12650421,89.98405233,80.02621335
