,Area,Item,Year,Value
335,Afghanistan,Apples,2010,8550.0
336,Afghanistan,Apples,2011,8863.0
337,Afghanistan,Apples,2012,9148.0
338,Afghanistan,Apples,2013,10341.0
339,Afghanistan,Apples,2014,12247.0
340,Afghanistan,Apples,2015,13038.0
341,Afghanistan,Apples,2016,19365.0
342,Afghanistan,Apples,2017,26847.0
343,Afghanistan,Apples,2018,28381.0
344,Afghanistan,Apples,2019,27559.0
512,Afghanistan,Apricots,2010,8320.0
513,Afghanistan,Apricots,2011,8320.0
514,Afghanistan,Apricots,2012,8350.0
515,Afghanistan,Apricots,2013,9005.0
516,Afghanistan,Apricots,2014,9005.0
517,Afghanistan,Apricots,2015,9116.0
518,Afghanistan,Apricots,2016,8595.0
519,Afghanistan,Apricots,2017,18067.0
520,Afghanistan,Apricots,2018,18510.0
521,Afghanistan,Apricots,2019,17719.0
689,Afghanistan,Barley,2010,212000.0
690,Afghanistan,Barley,2011,190000.0
691,Afghanistan,Barley,2012,280000.0
692,Afghanistan,Barley,2013,278000.0
693,Afghanistan,Barley,2014,342472.0
694,Afghanistan,Barley,2015,282000.0
695,Afghanistan,Barley,2016,219208.0
696,Afghanistan,Barley,2017,68179.0
697,Afghanistan,Barley,2018,84147.0
698,Afghanistan,Barley,2019,84070.0
1751,Afghanistan,Grapes,2010,61132.0
1752,Afghanistan,Grapes,2011,61558.0
1753,Afghanistan,Grapes,2012,61690.0
1754,Afghanistan,Grapes,2013,62118.0
1755,Afghanistan,Grapes,2014,78405.0
1756,Afghanistan,Grapes,2015,78681.0
1757,Afghanistan,Grapes,2016,82450.0
1758,Afghanistan,Grapes,2017,87194.0
1759,Afghanistan,Grapes,2018,87517.0
1760,Afghanistan,Grapes,2019,89593.0
2105,Afghanistan,Maize,2010,183000.0
2106,Afghanistan,Maize,2011,183000.0
2107,Afghanistan,Maize,2012,141000.0
2108,Afghanistan,Maize,2013,142000.0
2109,Afghanistan,Maize,2014,127000.0
2110,Afghanistan,Maize,2015,147273.0
2111,Afghanistan,Maize,2016,151900.0
2112,Afghanistan,Maize,2017,134225.0
2113,Afghanistan,Maize,2018,72433.0
2114,Afghanistan,Maize,2019,94910.0
2459,Afghanistan,Millet,2010,5000.0
2460,Afghanistan,Millet,2011,5000.0
2461,Afghanistan,Millet,2012,5000.0
