,Area,Item,Year,Value
453,Afghanistan,Apples,2010,59850.0
454,Afghanistan,Apples,2011,62041.0
455,Afghanistan,Apples,2012,70000.0
456,Afghanistan,Apples,2013,78597.0
457,Afghanistan,Apples,2014,89403.0
458,Afghanistan,Apples,2015,89733.0
459,Afghanistan,Apples,2016,140903.0
460,Afghanistan,Apples,2017,175000.0
461,Afghanistan,Apples,2018,217192.0
462,Afghanistan,Apples,2019,250324.0
630,Afghanistan,Apricots,2010,66560.0
631,Afghanistan,Apricots,2011,67995.0
632,Afghanistan,Apricots,2012,83500.0
633,Afghanistan,Apricots,2013,90000.0
634,Afghanistan,Apricots,2014,90000.0
635,Afghanistan,Apricots,2015,87686.0
636,Afghanistan,Apricots,2016,17894.0
637,Afghanistan,Apricots,2017,131816.0
638,Afghanistan,Apricots,2018,109086.0
639,Afghanistan,Apricots,2019,129363.0
807,Afghanistan,Barley,2010,437000.0
808,Afghanistan,Barley,2011,305900.0
809,Afghanistan,Barley,2012,504000.0
810,Afghanistan,Barley,2013,514000.0
811,Afghanistan,Barley,2014,521000.0
812,Afghanistan,Barley,2015,403000.0
813,Afghanistan,Barley,2016,301856.0
814,Afghanistan,Barley,2017,94995.0
815,Afghanistan,Barley,2018,56781.0
816,Afghanistan,Barley,2019,123576.0
1869,Afghanistan,Grapes,2010,397000.0
1870,Afghanistan,Grapes,2011,492464.0
1871,Afghanistan,Grapes,2012,590065.0
1872,Afghanistan,Grapes,2013,610570.0
1873,Afghanistan,Grapes,2014,744847.0
1874,Afghanistan,Grapes,2015,805072.0
1875,Afghanistan,Grapes,2016,874541.0
1876,Afghanistan,Grapes,2017,943056.0
1877,Afghanistan,Grapes,2018,984081.0
1878,Afghanistan,Grapes,2019,1112927.0
2223,Afghanistan,Maize,2010,301000.0
2224,Afghanistan,Maize,2011,300120.0
2225,Afghanistan,Maize,2012,310000.0
2226,Afghanistan,Maize,2013,312000.0
2227,Afghanistan,Maize,2014,316000.0
2228,Afghanistan,Maize,2015,316000.0
2229,Afghanistan,Maize,2016,311646.0
2230,Afghanistan,Maize,2017,173912.0
2231,Afghanistan,Maize,2018,106670.0
2232,Afghanistan,Maize,2019,184671.0
2577,Afghanistan,Millet,2010,15000.0
2578,Afghanistan,Millet,2011,15000.0
2579,Afghanistan,Millet,2012,15000.0
2580,Afghanistan,Millet,2013,13000.0
2581,Afghanistan,Millet,2014,3764.0
2582,Afghanistan,Millet,2015,6248.0
2583,Afghanistan,Millet,2016,6295.0
2584,Afghanistan,Millet,2017,5582.0
2585,Afghanistan,Millet,2018,4900.0
2586,Afghanistan,Millet,2019,2714.0
3195,Afghanistan,Oranges,2010,2000.0
3196,Afghanistan,Oranges,2011,6000.0
3197,Afghanistan,Oranges,2012,6000.0
3198,Afghanistan,Oranges,2013,6320.0
3199,Afghanistan,Oranges,2014,6930.0
3200,Afghanistan,Oranges,2015,4926.0
3201,Afghanistan,Oranges,2016,4361.0
3202,Afghanistan,Oranges,2017,4026.0
3203,Afghanistan,Oranges,2018,4892.0
3204,Afghanistan,Oranges,2019,4830.0
4037,Afghanistan,Potatoes,2010,246000.0
4038,Afghanistan,Potatoes,2011,205000.0
4039,Afghanistan,Potatoes,2012,230000.0
4040,Afghanistan,Potatoes,2013,302980.0
4041,Afghanistan,Potatoes,2014,340257.0
4042,Afghanistan,Potatoes,2015,327507.0
4043,Afghanistan,Potatoes,2016,427917.0
4044,Afghanistan,Potatoes,2017,513194.0
4045,Afghanistan,Potatoes,2018,615684.0
4046,Afghanistan,Potatoes,2019,921122.0
4391,Afghanistan,"Rice, paddy",2010,672000.0
4392,Afghanistan,"Rice, paddy",2011,672000.0
4393,Afghanistan,"Rice, paddy",2012,500000.0
4394,Afghanistan,"Rice, paddy",2013,512094.0
4395,Afghanistan,"Rice, paddy",2014,537000.0
4396,Afghanistan,"Rice, paddy",2015,410000.0
4397,Afghanistan,"Rice, paddy",2016,356565.0
4398,Afghanistan,"Rice, paddy",2017,338420.0
4399,Afghanistan,"Rice, paddy",2018,352177.0
4400,Afghanistan,"Rice, paddy",2019,382500.0
4450,Afghanistan,"Rice, paddy (rice milled equivalent)",2010,448224.0
4451,Afghanistan,"Rice, paddy (rice milled equivalent)",2011,448224.0
4452,Afghanistan,"Rice, paddy (rice milled equivalent)",2012,333500.0
4453,Afghanistan,"Rice, paddy (rice milled equivalent)",2013,341567.0
4454,Afghanistan,"Rice, paddy (rice milled equivalent)",2014,358179.0
4455,Afghanistan,"Rice, paddy (rice milled equivalent)",2015,273470.0
4456,Afghanistan,"Rice, paddy (rice milled equivalent)",2016,237829.0
4457,Afghanistan,"Rice, paddy (rice milled equivalent)",2017,225726.0
4458,Afghanistan,"Rice, paddy (rice milled equivalent)",2018,234902.0
4459,Afghanistan,"Rice, paddy (rice milled equivalent)",2019,255128.0
4627,Afghanistan,Seed cotton,2010,33000.0
4628,Afghanistan,Seed cotton,2011,33000.0
4629,Afghanistan,Seed cotton,2012,36300.0
4630,Afghanistan,Seed cotton,2013,42173.0
4631,Afghanistan,Seed cotton,2014,42829.0
4632,Afghanistan,Seed cotton,2015,50482.0
4633,Afghanistan,Seed cotton,2016,58996.0
4634,Afghanistan,Seed cotton,2017,36770.0
4635,Afghanistan,Seed cotton,2018,57450.0
4636,Afghanistan,Seed cotton,2019,73120.0
4998,Afghanistan,Sugar beet,2010,15200.0
4999,Afghanistan,Sugar beet,2011,15236.0
5000,Afghanistan,Sugar beet,2012,14064.0
5001,Afghanistan,Sugar beet,2013,14765.0
5002,Afghanistan,Sugar beet,2014,11330.0
5003,Afghanistan,Sugar beet,2015,4495.0
5004,Afghanistan,Sugar beet,2016,1582.0
5005,Afghanistan,Sugar beet,2017,2102.0
5006,Afghanistan,Sugar beet,2018,5363.0
5007,Afghanistan,Sugar beet,2019,9284.0
5175,Afghanistan,Sugar cane,2010,92400.0
5176,Afghanistan,Sugar cane,2011,92460.0
5177,Afghanistan,Sugar cane,2012,77500.0
5178,Afghanistan,Sugar cane,2013,89880.0
5179,Afghanistan,Sugar cane,2014,75082.0
5180,Afghanistan,Sugar cane,2015,46454.0
5181,Afghanistan,Sugar cane,2016,17364.0
5182,Afghanistan,Sugar cane,2017,33725.0
5183,Afghanistan,Sugar cane,2018,25421.0
5184,Afghanistan,Sugar cane,2019,36538.0
5840,Afghanistan,Watermelons,2010,251420.0
5841,Afghanistan,Watermelons,2011,203328.0
5842,Afghanistan,Watermelons,2012,190009.0
5843,Afghanistan,Watermelons,2013,176250.0
5844,Afghanistan,Watermelons,2014,301409.0
5845,Afghanistan,Watermelons,2015,328186.0
5846,Afghanistan,Watermelons,2016,862341.0
5847,Afghanistan,Watermelons,2017,771355.0
5848,Afghanistan,Watermelons,2018,316333.0
5849,Afghanistan,Watermelons,2019,846990.0
6017,Afghanistan,Wheat,2010,4532000.0
6018,Afghanistan,Wheat,2011,3388000.0
6019,Afghanistan,Wheat,2012,5050000.0
6020,Afghanistan,Wheat,2013,5169235.0
6021,Afghanistan,Wheat,2014,5370259.0
6022,Afghanistan,Wheat,2015,4673040.0
6023,Afghanistan,Wheat,2016,4555110.0
6024,Afghanistan,Wheat,2017,4280776.0
6025,Afghanistan,Wheat,2018,3613300.0
6026,Afghanistan,Wheat,2019,4890000.0
108276,Bangladesh,Bananas,2010,818254.0
108277,Bangladesh,Bananas,2011,800840.0
108278,Bangladesh,Bananas,2012,745927.0
108279,Bangladesh,Bananas,2013,774826.0
108280,Bangladesh,Bananas,2014,770203.0
108281,Bangladesh,Bananas,2015,777427.0
108282,Bangladesh,Bananas,2016,798012.0
108283,Bangladesh,Bananas,2017,807104.0
108284,Bangladesh,Bananas,2018,810347.0
108285,Bangladesh,Bananas,2019,833309.0
108453,Bangladesh,Barley,2010,528.0
108454,Bangladesh,Barley,2011,484.0
108455,Bangladesh,Barley,2012,320.0
108456,Bangladesh,Barley,2013,260.0
108457,Bangladesh,Barley,2014,266.0
108458,Bangladesh,Barley,2015,307.0
108459,Bangladesh,Barley,2016,317.0
108460,Bangladesh,Barley,2017,287.0
108461,Bangladesh,Barley,2018,244.0
108462,Bangladesh,Barley,2019,157.0
109965,Bangladesh,Chick peas,2010,5744.0
109966,Bangladesh,Chick peas,2011,6605.0
109967,Bangladesh,Chick peas,2012,7000.0
109968,Bangladesh,Chick peas,2013,7000.0
109969,Bangladesh,Chick peas,2014,6000.0
109970,Bangladesh,Chick peas,2015,6672.0
109971,Bangladesh,Chick peas,2016,6382.0
109972,Bangladesh,Chick peas,2017,6237.0
109973,Bangladesh,Chick peas,2018,4964.0
109974,Bangladesh,Chick peas,2019,5347.0
110319,Bangladesh,Coconuts,2010,402000.0
110320,Bangladesh,Coconuts,2011,326000.0
110321,Bangladesh,Coconuts,2012,372000.0
110322,Bangladesh,Coconuts,2013,364000.0
110323,Bangladesh,Coconuts,2014,347474.0
110324,Bangladesh,Coconuts,2015,383833.0
110325,Bangladesh,Coconuts,2016,374269.0
110326,Bangladesh,Coconuts,2017,408635.0
110327,Bangladesh,Coconuts,2018,466975.0
110328,Bangladesh,Coconuts,2019,431596.0
112047,Bangladesh,Jute,2010,923464.0
112048,Bangladesh,Jute,2011,1523315.0
112049,Bangladesh,Jute,2012,1452044.0
112050,Bangladesh,Jute,2013,1391000.0
112051,Bangladesh,Jute,2014,1349000.0
112052,Bangladesh,Jute,2015,1399000.0
112053,Bangladesh,Jute,2016,1344000.0
112054,Bangladesh,Jute,2017,1496216.0
112055,Bangladesh,Jute,2018,1613762.0
112056,Bangladesh,Jute,2019,1600474.0
112401,Bangladesh,Lentils,2010,71100.0
112402,Bangladesh,Lentils,2011,80442.0
112403,Bangladesh,Lentils,2012,80125.0
112404,Bangladesh,Lentils,2013,93000.0
112405,Bangladesh,Lentils,2014,157000.0
112406,Bangladesh,Lentils,2015,167261.0
112407,Bangladesh,Lentils,2016,158228.0
112408,Bangladesh,Lentils,2017,168837.0
112409,Bangladesh,Lentils,2018,176633.0
112410,Bangladesh,Lentils,2019,175384.0
112932,Bangladesh,Maize,2010,887391.0
112933,Bangladesh,Maize,2011,1018287.0
112934,Bangladesh,Maize,2012,1297717.0
112935,Bangladesh,Maize,2013,1548000.0
112936,Bangladesh,Maize,2014,2124000.0
112937,Bangladesh,Maize,2015,2271998.0
112938,Bangladesh,Maize,2016,2445576.0
112939,Bangladesh,Maize,2017,3025392.0
112940,Bangladesh,Maize,2018,3288102.0
112941,Bangladesh,Maize,2019,3569321.0
113109,Bangladesh,"Mangoes, mangosteens, guavas",2010,842312.0
113110,Bangladesh,"Mangoes, mangosteens, guavas",2011,889176.0
113111,Bangladesh,"Mangoes, mangosteens, guavas",2012,945059.0
113112,Bangladesh,"Mangoes, mangosteens, guavas",2013,956867.0
113113,Bangladesh,"Mangoes, mangosteens, guavas",2014,992296.0
113114,Bangladesh,"Mangoes, mangosteens, guavas",2015,1220616.0
113115,Bangladesh,"Mangoes, mangosteens, guavas",2016,1375993.0
113116,Bangladesh,"Mangoes, mangosteens, guavas",2017,1517691.0
113117,Bangladesh,"Mangoes, mangosteens, guavas",2018,1407308.0
113118,Bangladesh,"Mangoes, mangosteens, guavas",2019,1456331.0
113463,Bangladesh,Millet,2010,11990.0
113464,Bangladesh,Millet,2011,10288.0
113465,Bangladesh,Millet,2012,10395.0
113466,Bangladesh,Millet,2013,20065.0
113467,Bangladesh,Millet,2014,7140.0
113468,Bangladesh,Millet,2015,12510.0
113469,Bangladesh,Millet,2016,15250.0
113470,Bangladesh,Millet,2017,10380.0
113471,Bangladesh,Millet,2018,7811.0
113472,Bangladesh,Millet,2019,9200.0
113640,Bangladesh,Oilseeds nes,2010,403.0
113641,Bangladesh,Oilseeds nes,2011,414.0
113642,Bangladesh,Oilseeds nes,2012,370.0
113643,Bangladesh,Oilseeds nes,2013,391.0
113644,Bangladesh,Oilseeds nes,2014,1724.0
113645,Bangladesh,Oilseeds nes,2015,2148.0
113646,Bangladesh,Oilseeds nes,2016,2229.0
113647,Bangladesh,Oilseeds nes,2017,1913.0
113648,Bangladesh,Oilseeds nes,2018,2531.0
113649,Bangladesh,Oilseeds nes,2019,1975.0
113994,Bangladesh,Oranges,2010,2666.0
113995,Bangladesh,Oranges,2011,2998.0
113996,Bangladesh,Oranges,2012,2986.0
113997,Bangladesh,Oranges,2013,3448.0
113998,Bangladesh,Oranges,2014,3674.0
113999,Bangladesh,Oranges,2015,3954.0
114000,Bangladesh,Oranges,2016,3218.0
114001,Bangladesh,Oranges,2017,3372.0
114002,Bangladesh,Oranges,2018,3315.0
114003,Bangladesh,Oranges,2019,3393.0
114171,Bangladesh,Papayas,2010,112770.0
114172,Bangladesh,Papayas,2011,124764.0
114173,Bangladesh,Papayas,2012,119645.0
114174,Bangladesh,Papayas,2013,125000.0
114175,Bangladesh,Papayas,2014,131000.0
114176,Bangladesh,Papayas,2015,133370.0
114177,Bangladesh,Papayas,2016,130371.0
114178,Bangladesh,Papayas,2017,134647.0
114179,Bangladesh,Papayas,2018,131598.0
114180,Bangladesh,Papayas,2019,135809.0
114525,Bangladesh,Pigeon peas,2010,772.0
114526,Bangladesh,Pigeon peas,2011,676.0
114527,Bangladesh,Pigeon peas,2012,445.0
114528,Bangladesh,Pigeon peas,2013,423.0
114529,Bangladesh,Pigeon peas,2014,608.0
114530,Bangladesh,Pigeon peas,2015,603.0
114531,Bangladesh,Pigeon peas,2016,566.0
114532,Bangladesh,Pigeon peas,2017,552.0
114533,Bangladesh,Pigeon peas,2018,465.0
114534,Bangladesh,Pigeon peas,2019,468.0
114894,Bangladesh,Potatoes,2010,7930000.0
114895,Bangladesh,Potatoes,2011,8326389.0
114896,Bangladesh,Potatoes,2012,8205470.0
114897,Bangladesh,Potatoes,2013,8603000.0
114898,Bangladesh,Potatoes,2014,8950000.0
114899,Bangladesh,Potatoes,2015,9254285.0
114900,Bangladesh,Potatoes,2016,9474099.0
114901,Bangladesh,Potatoes,2017,10215957.0
114902,Bangladesh,Potatoes,2018,9744412.0
114903,Bangladesh,Potatoes,2019,9655082.0
115602,Bangladesh,"Rice, paddy",2010,50061200.0
115603,Bangladesh,"Rice, paddy",2011,50627000.0
115604,Bangladesh,"Rice, paddy",2012,50497000.0
115605,Bangladesh,"Rice, paddy",2013,51534000.0
115606,Bangladesh,"Rice, paddy",2014,51806593.0
115607,Bangladesh,"Rice, paddy",2015,51805464.0
115608,Bangladesh,"Rice, paddy",2016,50452866.0
115609,Bangladesh,"Rice, paddy",2017,54148000.0
115610,Bangladesh,"Rice, paddy",2018,54416000.0
115611,Bangladesh,"Rice, paddy",2019,54586344.0
115661,Bangladesh,"Rice, paddy (rice milled equivalent)",2010,33390820.0
115662,Bangladesh,"Rice, paddy (rice milled equivalent)",2011,33768209.0
115663,Bangladesh,"Rice, paddy (rice milled equivalent)",2012,33681499.0
115664,Bangladesh,"Rice, paddy (rice milled equivalent)",2013,34373178.0
115665,Bangladesh,"Rice, paddy (rice milled equivalent)",2014,34554998.0
115666,Bangladesh,"Rice, paddy (rice milled equivalent)",2015,34554244.0
115667,Bangladesh,"Rice, paddy (rice milled equivalent)",2016,33652062.0
115668,Bangladesh,"Rice, paddy (rice milled equivalent)",2017,36116716.0
115669,Bangladesh,"Rice, paddy (rice milled equivalent)",2018,36295472.0
115670,Bangladesh,"Rice, paddy (rice milled equivalent)",2019,36409091.0
115984,Bangladesh,Seed cotton,2010,43363.0
115985,Bangladesh,Seed cotton,2011,36000.0
115986,Bangladesh,Seed cotton,2012,51840.0
115987,Bangladesh,Seed cotton,2013,55200.0
115988,Bangladesh,Seed cotton,2014,57600.0
115989,Bangladesh,Seed cotton,2015,57120.0
115990,Bangladesh,Seed cotton,2016,60000.0
115991,Bangladesh,Seed cotton,2017,119000.0
115992,Bangladesh,Seed cotton,2018,130000.0
115993,Bangladesh,Seed cotton,2019,81000.0
116471,Bangladesh,Soybeans,2010,69522.0
116472,Bangladesh,Soybeans,2011,65883.0
