,Area,Item,Year,Value
394,Afghanistan,Apples,2010,70000.0
395,Afghanistan,Apples,2011,70000.0
396,Afghanistan,Apples,2012,76519.0
397,Afghanistan,Apples,2013,76005.0
398,Afghanistan,Apples,2014,73000.0
399,Afghanistan,Apples,2015,68824.0
400,Afghanistan,Apples,2016,72762.0
401,Afghanistan,Apples,2017,65184.0
402,Afghanistan,Apples,2018,76527.0
403,Afghanistan,Apples,2019,90832.0
571,Afghanistan,Apricots,2010,80000.0
572,Afghanistan,Apricots,2011,81725.0
573,Afghanistan,Apricots,2012,100000.0
574,Afghanistan,Apricots,2013,99944.0
575,Afghanistan,Apricots,2014,99944.0
576,Afghanistan,Apricots,2015,96189.0
577,Afghanistan,Apricots,2016,20819.0
578,Afghanistan,Apricots,2017,72960.0
579,Afghanistan,Apricots,2018,58934.0
580,Afghanistan,Apricots,2019,73008.0
748,Afghanistan,Barley,2010,20613.0
749,Afghanistan,Barley,2011,16100.0
750,Afghanistan,Barley,2012,18000.0
751,Afghanistan,Barley,2013,18489.0
752,Afghanistan,Barley,2014,15213.0
753,Afghanistan,Barley,2015,14291.0
754,Afghanistan,Barley,2016,13770.0
755,Afghanistan,Barley,2017,13933.0
756,Afghanistan,Barley,2018,6748.0
757,Afghanistan,Barley,2019,14699.0
1810,Afghanistan,Grapes,2010,64941.0
1811,Afghanistan,Grapes,2011,80000.0
1812,Afghanistan,Grapes,2012,95650.0
1813,Afghanistan,Grapes,2013,98292.0
1814,Afghanistan,Grapes,2014,95000.0
1815,Afghanistan,Grapes,2015,102321.0
1816,Afghanistan,Grapes,2016,106069.0
1817,Afghanistan,Grapes,2017,108156.0
1818,Afghanistan,Grapes,2018,112445.0
1819,Afghanistan,Grapes,2019,124220.0
2164,Afghanistan,Maize,2010,16448.0
2165,Afghanistan,Maize,2011,16400.0
2166,Afghanistan,Maize,2012,21986.0
2167,Afghanistan,Maize,2013,21972.0
2168,Afghanistan,Maize,2014,24882.0
2169,Afghanistan,Maize,2015,21457.0
2170,Afghanistan,Maize,2016,20517.0
2171,Afghanistan,Maize,2017,12957.0
2172,Afghanistan,Maize,2018,14727.0
2173,Afghanistan,Maize,2019,19457.0
2518,Afghanistan,Millet,2010,30000.0
2519,Afghanistan,Millet,2011,30000.0
2520,Afghanistan,Millet,2012,30000.0
2521,Afghanistan,Millet,2013,26000.0
2522,Afghanistan,Millet,2014,24845.0
2523,Afghanistan,Millet,2015,23201.0
2524,Afghanistan,Millet,2016,23109.0
2525,Afghanistan,Millet,2017,22160.0
2526,Afghanistan,Millet,2018,21240.0
2527,Afghanistan,Millet,2019,19372.0
3136,Afghanistan,Oranges,2010,20000.0
3137,Afghanistan,Oranges,2011,60000.0
3138,Afghanistan,Oranges,2012,60000.0
3139,Afghanistan,Oranges,2013,60190.0
3140,Afghanistan,Oranges,2014,66000.0
3141,Afghanistan,Oranges,2015,49015.0
3142,Afghanistan,Oranges,2016,44959.0
3143,Afghanistan,Oranges,2017,50451.0
3144,Afghanistan,Oranges,2018,50433.0
3145,Afghanistan,Oranges,2019,49640.0
3978,Afghanistan,Potatoes,2010,120000.0
3979,Afghanistan,Potatoes,2011,100000.0
3980,Afghanistan,Potatoes,2012,109524.0
3981,Afghanistan,Potatoes,2013,131960.0
3982,Afghanistan,Potatoes,2014,136054.0
3983,Afghanistan,Potatoes,2015,130903.0
3984,Afghanistan,Potatoes,2016,119868.0
3985,Afghanistan,Potatoes,2017,159794.0
3986,Afghanistan,Potatoes,2018,190026.0
3987,Afghanistan,Potatoes,2019,161413.0
4332,Afghanistan,"Rice, paddy",2010,32308.0
4333,Afghanistan,"Rice, paddy",2011,32000.0
4334,Afghanistan,"Rice, paddy",2012,24390.0
4335,Afghanistan,"Rice, paddy",2013,24980.0
4336,Afghanistan,"Rice, paddy",2014,24409.0
4337,Afghanistan,"Rice, paddy",2015,25000.0
4338,Afghanistan,"Rice, paddy",2016,29963.0
4339,Afghanistan,"Rice, paddy",2017,30919.0
4340,Afghanistan,"Rice, paddy",2018,29963.0
4341,Afghanistan,"Rice, paddy",2019,29993.0
4568,Afghanistan,Seed cotton,2010,10000.0
4569,Afghanistan,Seed cotton,2011,10000.0
4570,Afghanistan,Seed cotton,2012,11000.0
4571,Afghanistan,Seed cotton,2013,11618.0
4572,Afghanistan,Seed cotton,2014,12237.0
4573,Afghanistan,Seed cotton,2015,11984.0
4574,Afghanistan,Seed cotton,2016,11545.0
4575,Afghanistan,Seed cotton,2017,11547.0
4576,Afghanistan,Seed cotton,2018,14546.0
4577,Afghanistan,Seed cotton,2019,14810.0
4939,Afghanistan,Sugar beet,2010,129915.0
4940,Afghanistan,Sugar beet,2011,130000.0
4941,Afghanistan,Sugar beet,2012,120000.0
4942,Afghanistan,Sugar beet,2013,150663.0
4943,Afghanistan,Sugar beet,2014,115612.0
4944,Afghanistan,Sugar beet,2015,81579.0
4945,Afghanistan,Sugar beet,2016,78317.0
4946,Afghanistan,Sugar beet,2017,104577.0
