country,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
afghanistan,Afghanistan,279.02,306.34,352.7,351.37,286.65,385.9,349.48,275.81,253.72,365.31,373.95
afghanistan,Badakhshan,542.16,500.19,549.54,560.03,450.82,635.88,601.4,502.5,407.01,557.38,575.66
afghanistan,Badghis,235.77,245.05,294.86,230.9,248.96,306.78,265.24,262.46,238.85,326.68,316.81
afghanistan,Baghlan,446.14,439.4,582.16,588.21,433.86,627.22,568.43,415,402.38,507.69,564.52
afghanistan,Balkh,232.5,226.18,370.8,287.54,326.88,342.22,317.57,217.26,218.69,345.82,329.05
afghanistan,Bamyan,393.37,393.78,576.5,538.71,425.17,538.72,543.76,381.91,390.99,452.26,501.99
afghanistan,Farah,113.43,134.63,170.75,171.85,166.68,196.98,184.09,176.74,164.45,198.05,195.73
afghanistan,Faryab,218.83,219.68,298.61,237.85,276.85,302.84,276.77,238.95,222.48,320.69,306.27
afghanistan,Ghazni,362.32,436.99,511.42,517.71,388.06,562.99,516.02,362.32,354.31,500.54,520.86
afghanistan,Ghor,306.83,305.38,347.7,327.39,329.49,341.09,367.14,308.33,311.71,336.26,346.64
afghanistan,Hilmand,82.98,162.13,123.84,151.89,103.95,129.83,127.81,106.18,92.64,190.49,170.41
afghanistan,Hirat,193.62,191.91,261.74,197,205.49,263.51,229.86,237.73,208.98,281.22,276.32
afghanistan,Jawzjan,175,166.64,274.77,212.37,252.62,270.01,244.39,192.54,170.46,290.31,263.26
afghanistan,Kabul,563.68,543.45,648.37,740.5,498.18,807.74,665.16,463.79,436.95,613.87,695.3
afghanistan,Kandahar,95.49,251.49,159.54,188.17,100.55,150.77,145.84,114.1,93.24,268.25,238.88
afghanistan,Kapisa,614.75,581.08,699.87,794.58,508.39,855.02,712.3,505.93,468.92,623.81,710.19
afghanistan,Khost,672.09,610.91,673.17,760.08,622.64,924.32,724.48,509.54,469.45,745.97,790.42
afghanistan,Kunar,914.59,769.54,821.23,974.34,645.72,1156.52,854.59,661.91,569.89,768.26,839.02
afghanistan,Kunduz,322.13,305.75,419.16,384.65,339.52,421.07,391.21,291.9,277.99,402.49,426.54
afghanistan,Laghman,716.62,641.94,726.58,851.46,550.43,941.08,740.86,535.32,487.32,658.17,756.84
afghanistan,Logar,543.58,545.54,633.03,731.24,528.28,810.09,662.89,464.7,437.88,659.26,730.92
afghanistan,Nangarhar,804.56,692.48,754.64,887.86,631.82,1021.41,761.88,562.72,509.61,735.53,826.91
afghanistan,Nimroz,31.63,99.95,77.72,116.05,77.26,106.97,72.31,70.64,49.86,129.79,139.49
afghanistan,Nuristan,756.11,688.48,763.5,879.2,540.51,997.01,803.46,604.38,518.44,691.71,760.95
afghanistan,Paktika,415.86,461.93,503.59,515.05,413.32,614.74,506.89,348.31,318.64,549.86,566.8
afghanistan,Paktya,591.83,582.58,656.23,756.35,586.05,867.49,699.85,495.44,460.82,724.61,779.18
afghanistan,Samangan,329.84,338.64,539.91,474.17,413.81,511.01,485.53,322.66,334.39,447.12,481.02
afghanistan,Sar-e-Pul,285.06,273.77,460.39,360.51,414.71,423.4,411.27,284.33,293.04,409.55,424.78
afghanistan,Takhar,473.85,460.07,563.3,571.45,453.83,617.31,557.71,434.41,402.82,546.98,587.79
afghanistan,Wardak,441.25,464.28,607.16,630.64,454.79,683.86,621.69,421.71,416.89,547.5,606.31
afghanistan,Zabul,222.11,355.49,328.78,325.23,236.49,340.15,308.82,227.95,216.88,373.81,355.88
afghanistan,Daykundi,314.21,341.49,375.96,363.76,315.92,369.93,392.08,317.86,316.95,353.31,356
afghanistan,Panjsher,615.26,595.27,732.12,806.14,515.53,863.83,739.62,537.37,493.93,644.33,719.95
afghanistan,Parwan,506.07,496.69,645.42,688.57,467.32,741.28,651.82,447.86,436.31,558.54,626.69
afghanistan,Uruzgan,228.25,305.66,301.43,294.49,229.48,295.36,302.27,241.54,237.49,315.54,292.62
Bangladesh,Bangladesh,2245.35,1971.04,1992.35,2023.31,1801.96,2543.25,2119.78,2743.86,1823.15,2029.11,2476.53
Bangladesh,Barisal,2091.96,2146.29,2006.21,2164.51,1834.24,2717.47,2196.27,2926.49,1919.6,2095.08,2515.5
Bangladesh,Chittagong,2404.5,2455.71,2444.76,2283.96,1959.34,3038.56,2396.23,3229.43,2148.05,2315.67,2713.87
Bangladesh,Dhaka,2276.58,1812.23,1906.44,2001.9,1809.25,2490.52,2117.07,2745.9,1816.1,2004.63,2509.19
Bangladesh,Khulna,1604.46,1583.44,1443.75,1678.69,1410.76,2012.55,1696.35,2163.85,1416.73,1600.95,1944.68
Bangladesh,Sylhet,3495.93,2277.63,2935.57,2757.19,2602.2,3531.27,2949.52,3969.7,2602.11,2845.07,3499.84
Bangladesh,Rajshahi,1713.87,1525.36,1422.17,1569.77,1404.53,1896.98,1643.61,2001.62,1330.61,1545.49,1940.64
Bangladesh,Rangpur,2406.01,2114.44,1940.59,1942.69,1814.8,2318.1,2039.79,2391.58,1667.66,1993.35,2458.89
Brazil,Brazil,1759.98,1836.31,1675.27,1797.92,1745.69,1621.71,1610.9,1629.66,1764.38,1662.23,1679.26
Brazil,Acre,2324.18,2103.7,1915.93,1963.85,2288.65,1948.52,1924,2063.98,2100.13,2151.06,1886.46
Brazil,Alagoas,979.53,1256.93,616.82,952.23,1070.77,849.25,711,1015.3,775.88,1064.39,965.7
Brazil,Amapa,2715.06,2667.94,2427.1,2841.34,2447.62,2703.05,2540.29,2492.49,2890.48,2554.24,2331.33
Brazil,Amazonas,2351.52,2381.05,2383.56,2523.45,2413.32,2065.55,2037.44,2188.79,2406.2,2455.58,2351.66
Brazil,Bahia,774.45,867.36,560.25,836.87,753.5,588.89,692.81,628.08,780.01,675.7,1024.73
Brazil,Ceara,706.38,1002.59,471.81,608.49,766.81,645.05,569.04,686.72,680.42,750.27,874.43
Brazil,Distrito Federal,1453.18,1687.51,1609.41,1761.17,1637.12,1309.41,1250.73,1320.23,1625.94,1273.55,1442.21
Brazil,Espirito Santo,1109.21,1247.17,1185.11,1452.06,926.81,645.64,910.2,1116.81,1348.45,1311.43,1389.45
Brazil,Goias,1532.73,1753.8,1685.63,1796.77,1674.33,1448.34,1423,1434.02,1648.71,1391.07,1560.66
Brazil,Maranhao,1394.55,1837.76,1327.35,1574.39,1560.69,1203.31,1297.95,1465.05,1513.81,1360.44,1692.67
Brazil,Mato Grosso,1848.57,1905.19,1785.37,1736.04,1822.66,1773.89,1873.04,1872.28,1896.19,1682.17,1638.99
Brazil,Mato Grosso Do Sul,1423.89,1451.02,1382.63,1410.45,1494.34,1630.17,1558.49,1472.84,1452.8,1265.43,1275.19
Brazil,Minas Gerais,1324.07,1427.6,1155.71,1385.98,991.19,992.02,1102.05,1074.77,1245.45,1053.96,1451.27
Brazil,Para,2139.91,2221.03,2150.25,2241.8,2189.36,2120.64,2110.28,1974.37,2218.97,2064.82,1958.69
Brazil,Paraiba,705.57,1104.38,400.77,674.68,989.81,647.3,552.3,616.74,615.9,650.93,771.83
Brazil,Parana,1831.6,1635.16,1538.17,1641.37,1723.58,2129.41,1783.08,1714.57,1494.59,1400.83,1191.95
Brazil,Pernambuco,682.27,905.58,373.76,649.78,865.85,559.3,508.26,578.93,568.9,623.49,744.72
Brazil,Piaui,907.64,1082.97,787.91,988.19,990.48,764.87,815.24,891.68,977.86,865.91,1086.77
Brazil,Rio De Janeiro,1262.47,1345.35,1273.51,1334.57,1058.1,1087.03,1088.5,1105.24,1271.01,1231.37,1344.49
Brazil,Rio Grande Do Norte,631.69,955.9,411.15,574.28,839.89,605.19,513.26,544.25,550.96,566.09,667.95
Brazil,Rio Grande Do Sul,1644.44,1521.74,1562.78,1544.14,1999.65,1948.12,1673.81,1891.58,1642.44,1715.29,1356.46
Brazil,Rondonia,1822.04,1796.46,1687.71,1680.85,1762.7,1555.09,1360.45,1505.03,1689.51,1507.72,1334.02
Brazil,Roraima,2540.33,2413.62,2117.96,2291.07,1676.47,1703.59,1949.03,1871.97,2280.19,2453.43,2221.57
Brazil,Santa Catarina,1918.37,2029.96,1679.32,1703.42,1894.86,2202.19,1897.14,1729.3,1683.69,1502.08,1381.19
Brazil,Sao Paulo,1758.23,1565.08,1589.21,1444.63,1412.31,1789.01,1419.64,1455.08,1297.02,1342.89,1059.38
Brazil,Sergipe,873.57,946.23,528.86,832.74,796.57,736.57,545.07,826.35,656.15,944.47,951.73
Brazil,Tocantins,1526.52,1959.14,1492.33,1828.61,1624.42,1242.27,1398.45,1290.55,1781.82,1300.12,1860.03
Brazil,Name Unknown,1526.52,1959.14,1492.33,1828.61,1624.42,1242.27,1398.45,1290.55,1781.82,1300.12,1860.03
Brazil,Name Unknown.1,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89
Brazil,Name Unknown.2,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89
Brazil,Name Unknown.3,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89
China,China,639.78,540.06,640.01,615.57,612.21,632.39,674.29,634.22,641.09,614.16,643.78
China,Anhui Sheng,1274.06,974.4,1110.1,1000.11,1187.76,1439.47,1396.65,1169.47,1188.52,1034.03,1438.4
